reviewText,AspectTerm,Sentiment
"When we got to our room the door was wide open , our room key didn ' t work so we had to reactivate it every time we wanted to get back in , the floors were dirty , we didn ' t have enough beds to accodomate the girls , our window was broken with 90 degree hot air seeping in , no curtains to shade the room , and our bathroom light was broken !",rooms design_features,negative
Absolutely terrible !,hotel general,negative
"Dirty , dirty dirty !  !  !",hotel general,negative
Minced are minced very very very very small .,food style_options,negative
"Hey there, I bought this keyboard to surf the web in bed with our mounted monitor. Its nice to have a small wireless unit but the mouse pad isn't very responsive and the keys themself are not the nicest. It works ok but there has to be a better model out there somewhere!",monitor,neutral
"The flavor would be ok , with a less salt flavor .",food quality,neutral
"The Mosser is a very clean , comfortable , friendly , attractive hotel that ' s in a great location in San Francisco .",hotel cleanliness,positive
zy This hotel may appear old and run down from the outside,hotel design_features,neutral
Located in quiet area but a quick 15 - 20 mins walk to San Marco square .,location general,positive
"I haven't dropped my iPad, so I don't know how well it will hold up in case of a slip, but it's protecting it from scratches during transport. Magnetic cover helps put the iPad to sleep. Works ok when viewing the iPad landscape and straight up, but does not provide an angled view when laying on a table, or portrait view. Not much grip either on the back, so you really have to hold on to it.",landscape,neutral
"It can be forced into place to make the product fit, but it is too tight for my radio and required a little modification to make it look good.  I also painted mine to improve the look.",look,neutral
The dining room is also small and tables were not always available for breakfast .,facilities general,negative
"The Melia Caribe , being a 5 - star hotel , has very poor service and over - rated food .",hotel quality,negative
"I have not yet tested these on UV reactant liquidbut will replay as soon as i experiment with itbest part is they work as dimmer light for night time use :) atm till i can afford water coolingConsOne of the lights, lights slightly dimmerThe cables from the lights to the inverter were not long enough",UV reactant,neutral
It was horrible .,food general,negative
There is more to this bundle than really needed.  I  guess more is better than not enough and costs are more reasonable when buying the whole bundle.  Equipment seems to be ok.,Equipment,neutral
"I complained that this did not constitute an ocean view in my mind , but the hotel staff told me that is how the room is classified , and refused to move us .",service general,negative
This is a basic portable CD Player. It performed satisfactorily. It came with a basic headset and controls are visible.,controls,neutral
My only complaint is the high prices for room service and still a $ 10 per day charge for high speed internet .,service general,negative
"We stayed in a Century Suite and it was really comfortable , quite and spacious .",rooms comfort,positive
"Nice concept, but the price is high and the quality is somewhat cheap.  Works OK. Bought other Belkin products in the past, which were of much better quality.",Works,neutral
"It does the job, but I'm having a hard time believing its a class 10. I replaced a 32g class 4 with this sony 64 class10. The class 4 sandisk is a good deal faster.  I needed more space so double my storage with a 64. I'll stick to sandisk.",space,neutral
IPS panel but didnot feel very different.  Nice thin bezel design.  One thing this monitor lack of is the sound pass through for HDMI.,IPS panel,neutral
As most of you know texture is the bigger problem when it comes to gluten - free food and this product measures up .,food style_options,negative
it was some where we would return again definately to the bavaro princes,hotel general,positive
The location is excellent close to Union Square .,location general,positive
"agree with "" do not stay here "" This hotel claims to be a four star establishment when in reality I wouldn ' t give it two .",hotel quality,negative
"I always buy in bulk , because the price per cup decreases , but also because I KNOW I ' m going to drink a lot .",food prices,positive
The shade seems adequate for the Nikon kit lenses I purchased with my D40 (18-55mm and 55-200mm).  The only feature I miss (compared to other shades) is the ability to reverse the hood and attach it to the lens body.  Without that feature the hood floats around in my gadget bag and I do fear that I may lose it if I am not careful.,lens body,neutral
Great Location,location general,positive
Having our own pool was fabulous .,facilities general,positive
This is a great company because when you go to the grocery store spices are so expensive and this company is much cheaper and fresher .,food prices,positive
"My room was spotless ( despite what some reviewers have written )  , and while the bathroom was small , the shower itself was roomy , the hotel bath linens of very good quality and a working iron and ironing board in the closet .",rooms design_features,negative
Wow . . . this type of product seems to rely solely on aroma and minimally on taste .,food quality,neutral
"I'm using this with my D40 and kit lens.  The case is cheap and feels cheap, but if you're just looking to cover your camera while out it does the job.  Plus, it's very light weight so you're not carrying around extra bulk.  Not sure how protective it would be if it fell off your shoulder on to the ground, but c'est la vie.",kit lens,neutral
"Excellent location close to airport , walking distance to Van Gogh Museum and lots of nice restaurants and Terraces around the hotel .",location general,positive
It's hard to get used it to it and easy to lose it but it works very well. I didn't have to pair it at all.,pair,neutral
"Did you know Samsung did away with the &#34;move to SD card&#34; feature within the settings:memory option? Therefore, if does not matter if you purchase this product like i have: you will be limited to internal storage or having to manually move files from internal storage to your SD card : only if you know what you are doing.  Nevertheless, this card performs: average.",SD card,neutral
"What the hotel may lack in modern it makes up for in fabulous staff , free sodas and chips , wonderful continental breakfast with home made baked goods , and spacious rooms .",rooms design_features,positive
"The best thing about this food is how it is processed by her body - the resulting poop is small , solid and easy to pick up - while all poop stinks there is a huge difference between using a quality dog food like Vitality and something of less quality that you pick up off the grocery shelf .",food general,positive
"It can be brewed nice and strong without getting bitter ( by brewing it longer ) , a sign of a good quality tea .",food quality,positive
"The chocolate is perfectly dark without being bitter , the orange has an incredibly satisfying crunch and a slight ( very slight ) chewiness that makes the texture of the bar divine , and the flavor of orange and chocolate together are heavenly .",food style_options,positive
I would stay again in the summer as it is not far from Fenway and lots to see walking around .,hotel general,positive
Its flavor is exactly as you might expect with hints of lime and mint .,food quality,positive
"Probably fine for tourist travel , but be warned that for business travel this is the worst Starwood property we ' ve ever stayed in .",hotel general,negative
We had a wonderful time at this hotel .,hotel general,positive
"Nice stay , little expensive Nice place",hotel prices,neutral
"This sleeve is okay.  I prefer the Nixon (http://www.amazon.com/gp/product/B00C10T2EC/) because it has the same slim form-factor plus a zipped pocket, which is good for holding the stylus and Bluetooth Wireless Adapter for the Type Cover (for example).",sleeve,neutral
"Ideal hotel We really liked this hotel , we were originally booked for the Kempinsky but due to a mix up we couldn ' t get in , and booked this very much last minute .",hotel general,positive
The texture is like jell - o pudding and the flavor might be a poor semblance of a butterscotch - scented magic marker .,food quality,negative
"Unfortunately for the sender, this remote wasn't so great.  It's in need of batteries already and only after riding with it 2 times.  When it works though, it works great.",sender,neutral
"The quality of the service and back drops are not great , but if you can overlook the details it is worth the stay .",service general,negative
He really liked Chef Michael ' s Grilled Sirloin Dog Food .,food general,positive
Not a typical W W is not as good as other W ' s in other cities .,hotel general,negative
Love it .,food general,positive
"Okay , it ' s expensive and the rooms not furnished according to my taste - but in general it ' s a very oppulent hotel with good service .",hotel prices,negative
"Also , like someone else stated , some pieces are super thick . quality control needed !",food quality,negative
"Not as strong as I normally prefer , but the taste is so good",food quality,negative
I said would you see if they still sell that Market Spice Tea .,amazon availability,neutral
There is absolutely no problem with these K - Cups .,food general,neutral
I lost our ipod shuffles while riding our motorcycle so had to buy some replacements. For some reason it would only play while hooked up to the computer. It would not power on. I think it was a bad battery not letting it charge. The seller refunded my money right away. I liked the overall size and that it seemed like it would be as easy to use as my shuffle.,ipod,neutral
"The hotel is a clean but basic hotel , no tea / coffee facilities or hairdryers in the room , the rooms were of a decent size however our room was on the top floor accessed by a very steep spiral staircase , not good after a few drinks !",facilities design_features,negative
Room was large and comfortable but smelt A LOT of cigarettes .,rooms quality,negative
Sign up for a scheduled shipment on Amazon and get an even better price .,shipment delivery,positive
"Brilliant location Simple , clean , efficiant hotel in an ideal location for restaurants and attractions .",hotel general,positive
I feel milk would make it too weak .,food general,negative
The best hotel and location in Barcelona Amazing place to stay - no need to look elsewhere .,hotel general,positive
My room had two huge flat screen TVs and a view of Reforma but beyond that the furniture was nothing special for a hotel of this caliber .,rooms general,positive
It sounds ok for the size was hoping for more bass. Going to keep because of the size and it takes batteries. If you want better sound by the sangean wr-2 it has great sound for just a little more money than th Gozo.,sounds,neutral
"I bought this item for an LG VX-8700 cell phone.  I already had a Verizon cable with an equally useless softwarre, but good driver.  The Verizon package costs $30, although it comes with a great thick cable.  I ended up using the free BITPIM software with either cable.  My advice is to buy this cable, download the USB driver for your phone, then use BITPIM to sync your contacts with Outlook.",USB,neutral
"I also noted that on return at least 3 room doors were opened by housekeeping and the rooms unprotected by employees , thus violating their own policy - to get into this hotel you have to go through a gate into a secured compound .",service general,negative
"the food was wonderful , the rooms were spotless , the employes went out of there way to help and to look after your every needs , and always with a smile on there faces .",rooms cleanliness,positive
"The quality of the service and back drops are not great , but if you can overlook the details it is worth the stay .",hotel general,positive
It works. But I took some time to figure out where the battery goes? The top and bottom cover seems not too tightly sealed. But it works though there is little noise. There is no way to power it off when using with battery.,battery,neutral
The grounds of the hotel were elegant yet unpretentious .,facilities design_features,neutral
"Ripped curtains , dirty carpet ( from construction dust )  .",room_amenities quality,negative
"The price of the hotel is on the moderate to high side but the location ( 1 / 2 block to the Times Square subway station )  , experience , and high quality made it worth it .",hotel prices,neutral
They ' re more robust in texture and flavor .,food quality,positive
"The specs say it has a 170 degree view range, but I'm not sure it's 170 degrees.  It works good, just wish I could see a wider view.",specs,neutral
"Good room , great restaurants nearby and good cocktails in the bar , not far from Old Street station .",rooms general,positive
"If I were to buy this product again , and that is very doubtful , I ' d go back to buying from a brick and mortar retail store , pay a higher price and sales tax .",food recommendation,negative
If you like your coffee dark and strong enough to stand a horse shoe in it straight up this may be too boring for you .,food quality,neutral
"The lighting in the rooms is even dimmer than the hotel norm , and the wireless internet mostly non - existent ( at least while I was staying )  .",facilities quality,negative
Artus is Great for Romance,hotel general,positive
"not much to say here, I needed one since my monitor came with only a vga and hdmi. somehow the manufactures decided those two were enough.....it wasent.as for the quality again its a cable it works fine, the little plastic locks are annoying but that's inherent with its design",vga,neutral
"The price could be better for six pack , but - oh , well ! - the most important that my man is happy now .",food prices,positive
"I would say that these bags are pretty small and you "" might "" get 3 coffee maker uses per bag if you ' re lucky , probably more like 2 uses per bag as they are much smaller than expected .",food style_options,negative
"It smells more like it than it tastes , but still it tastes enough like a margarita that it feels weird to be slugging it back at work .",food quality,positive
"I hope to record my doctor's feedback while I am still under medication, so I hope that it works. It doesn't seem to be very sensitive, but it is a cool idea.",medication,neutral
The hotel and breakfast room were lovely .,hotel design_features,positive
Appears to do the trick for being able to charge my camera batteries in the car on the run.  Overall okay for the price paid.,price,neutral
elevators are small and slow .,facilities quality,negative
"Three stars. I don't care about the LED lights, only how well the unit cools. When my October 2013 MacBook Pro is running a graphic intensive game, the fan simply doesn't spin fast enough to keep it as cool as I'd like. It's not bad...just not good enough.",LED lights,neutral
"USE AT YOUR OWN RISK.I prefer not to use the swabs it came with, as it is rough and can easily harm the sensor as it did to my canon rebel xti.I use the liquid by itself with a lens cleaning cloth to clean my sensor.And the liquid, it leaves a light greasy residue behind, not really recommended.",lens cleaning,neutral
"Sure , the drink tastes fine without it , but this achieves new heights once you agree to spice it up .",food quality,neutral
The product is to sweet and to spicy .,food quality,negative
Small kichenette was useful for the fridge and microwave .,rooms design_features,negative
"This hotel is beautiful , clean and the peoples are very friendly , specially animation team , Sandy was very friendly and make us feel like family .",hotel cleanliness,positive
protects ipod just finequality is goodbutdust magnethave to wash it from time to time but its cheap so i recommend it,ipod,neutral
Great atmosphere  service .,service general,positive
It should have come with the Xbox or the headphones for the price I paid.  It does work as it should.,Xbox,neutral
"She upgraded us to a fabulour corner room , facing the harbor and gave us complimentary access to the executive suite hospitality room .",service general,positive
it was a good value for money .,hotel prices,positive
Although the rooms are a little small they are spotless and the bathrooms more than make up for the smaller bedrooms .,rooms design_features,positive
The only issue I have is that they are a little too small for the price .,food style_options,negative
"I ' ve tasted many instant coffees , and this is one of the most disgusting ones so far .",food quality,negative
This is the best tuna I ' ve ever eaten .,food general,positive
"Also , while I expect to pay more for room service , internet access , and hotel cars in a more expense hotel like the Four Seasons , the prices seemed a bit excessive : $ 50 for a room service dinner of one beer , one bowl of soup , and a sandwich and $ 25 for wireless internet access .",facilities prices,negative
I can ' t review these cookies completely honestly my family ate them all before I even got home on the day they arrived .,food general,neutral
"I do not recommend this product - go with the "" Wholesome Sweetness "" brand of Erythritol since there is no other ingredient listed in their product .",food recommendation,negative
Despite being the ugliest building in Boston it is a comfortable hotel whose location is fantastic for most of the central Boston attractions .,location general,positive
"ordered this for a gift , mostly . ordered four bags . ate one and sent the other three as a gift . this candy is very tasty and good sized pieces . does stick to your teeth a bit , but overall i would give it a thumbs up .",food style_options,positive
"There is only a small amount of dark chocolate ( which is what I like , less calories more caffeine ) and the espresso bean has a great taste basically the bean melts in your mouth .",food general,positive
The rooms were good but a on the small side .,rooms design_features,negative
"Free parking , clean and spacious room , friendly staff , great breakfast and snack .",food_drinks quality,positive
"Based on product promotion on Amazon , led to believe that this was "" real maple "" syrup .",food general,negative
The dining room is also small and tables were not always available for breakfast .,facilities design_features,negative
"About 10 minutes walk from the busy streets of Causeway Bay , but 30 seconds from the MTR station and trams which are cheap and reliable ( buy an Octupus card at the airport !  )  . Tremendous , mainly unrestricted views over Hong Kong , harbour and Kowloon from the rooftop pool .",location general,negative
"It has a enchanting patio with tropical flowers , terracota tiles and a marvlous mobiliary , a little but confortable pool and very kind personnel .",hotel design_features,positive
"Decent sized room for NYC , very quiet , great bed , helpful staff , excellent bars and restaurants , and the most efficient elevator system I have ever seen in a high rise hotel .",service general,positive
"From the time I arrived at the front door until I left , the staff made you fell welcome .",service general,positive
"It was not bad tasting , but I drink enough whey and have experimented with various whey ice cream recipes and this reminded mea bit of some of the concoctions I have made and for the price it just wasn ' t that special of a treat .",food prices,neutral
"This is my absolute favorite flavor - moist , nutty and chewy all in one bite .",food quality,positive
"I wanted a cover that fits as well as the one I have on my macbook keyboard, unfortunately, this isn't it.",keyboard,neutral
"Although not happy in the beginning , they at least tried to repare it , which is not always the case with other sellers .",shipment quality,neutral
Doesn ' t have a clean ( refreshing ) after taste as I would have expected from a herbal mint tea but its fairly ok .,food general,neutral
thin walls and loud sounds coming from all directions left me awake and wishing i had slept anywhere else .,rooms design_features,negative
"The staff was great , the room was spacious ( by NY standards ) and the bed was very , very comfortable .",polarity positive,positive
"Good location , comfy beds Rooms were great although the bedroom area was a little on the small side , the bathrooms and comfortable beds really made up for this .",rooms general,positive
No thanks .,food general,negative
"The taste , however , is reasonably good .",food quality,positive
"The French Roast was smooth , dark and just darn tasty .",food quality,positive
Just not good .,food general,negative
"I would stay at the hotel again , just for the beds !",hotel general,positive
It had a mild but bold enough flavor for me that I could drink it in the am and have an afternoon cup when feeling sluggish .,food quality,positive
"It may be an aquired taste , but I feel it ' s superior to baked and healthier than fried .",food quality,neutral
"Excellent location This is a great hotel considering the rate , location and level of service .",hotel general,positive
"Wonderful Hotel , wonderful country , wonderful people Excellent hotel !",hotel general,positive
The rest is nice ! I recommend this place !,hotel general,positive
The only downfall of our trip was that we found most of the staff to be extremely rude and not very attentive and courteous .,service general,negative
"We like this product and the effects that it gives our bar area.  However, the controls are not easy to understand and you have to unplug it to turn it off.  I put a lamp switch in the power cord as a fix.",power cord,neutral
wonderfully comfortable We stayed for three nights April 2004 .,hotel comfort,positive
The bed and room were small but wonderful and so quiet .,rooms design_features,negative
"After much discussion , they found us a room , facing a brick wall , and never offered to move us .",rooms general,negative
"I mean , they ' re healthy , convenient and edible  but if you like to chew and really enjoy your food , it ' s disappointing .",food general,positive
"The carpeting was stained , there were holes and cracks all over the bathroom wall and there was a large black mark in the tub .",room_amenities cleanliness,negative
The foyer and pool are dingy and in need of a bit of work,facilities design_features,negative
"This drive is recognized by my ASUS board bios, and partially by Windows 8.1 - need to figure out how to get this straightened out.",board bios,neutral
Is very portable but you have to put some keyring or something to avoid loosing it. The reason why i put it 3 stars its because the chip got off the plastic body and sometimes it disarms. Not a big deal but wasnt expecting that.,plastic body,neutral
"I love sweet and tart , and these certainly fit the bill .",food prices,neutral
"Cocoa "" is the ingredient on the label of the chocolate peanut butter Clif crunch bars but I found these Clif Crunch snack bars less overly - sweet than many others .",food quality,neutral
"Front desk was great - had to check out very early so when I called for a wake - up call , the operate ordered a cab for me to arrive at a certain time and they packed a breakfast for me ( because I ' d miss the free breakfast )  .",service general,positive
Rate was much lower than other downtown hotels plus the parking is free .,facilities prices,positive
Decent balance of cost / location / quality,hotel quality,positive
"Trying to find the right food so that I didn ' t have to purchase too many kinds of dog food for two dogs with disparate health issues was not easy , but this Wellness Simple Solutions , along with the Wellness Core Dry does the job .",food general,positive
Weird smell in roomsSlow jerky,rooms cleanliness,negative
"I used the ethernet cable , but the process of authorizing the charge each day took about five minutes ( the system is very slow )  .  - Valet",facilities quality,negative
I was truly disappointed .,food general,negative
"These are SUPER salty , and they taste like what I imagine dog kibbles would taste like .",food quality,negative
"Took me from two bars to three in my office with the antenna placed in the window.  So I'm not blown away.  It's an improvement, but not much of one.  No noticeable improvement in 4G speed.  Connections seem a little bit more stable.",antenna,neutral
They quickly sent a repairman .,service general,positive
"Don't know why I bought this, I had all of the pieces already but thought I needed it for a second bag.",bag,neutral
A Good Stay,hotel general,positive
Bought this in hope that I could make a Sony HVL-F32X flash to work with a Canon DSLR.  But it DIDN'T. I just wasted 10 bucks for nothing ;).,flash,neutral
Way overpriced for what it was .,hotel prices,negative
"This is an excellent hotel and is quite stunning inside , but you do pay for it - ( my room rate was of around $ 600 a night )  . Overall very happy with the hotel , though I must admit the 9 clean towels I got each day did seem a little excessive",hotel design_features,positive
It is my biggest complaint with Amazon - packing sucks,shipment quality,negative
"It ' s got a great pool and a gym I didn ' t try , and breakfast is included in the tariff I believe .",food_drinks prices,neutral
"My vet thought that it might be due to a food allergy , and suggested we try a food containing ingredients she had not been exposed to previously .",food general,neutral
This hotel was 1 block from restaurant row  2 blocks from the theater district plus it averaged $ 159 per night .,hotel prices,neutral
"Great gardens , and damp rooms Absolutely beautiful gardens , lovely pool area .",rooms general,negative
The individual K - cups all seemed to be a normal size with no apparent damage .,food style_options,neutral
I booked this hotel after reading the reviews and knowing it score # 5 hotel in Toronto,hotel quality,positive
Room Inadaquate,rooms design_features,negative
The Casitas are a bit more pricey than the hotel rooms at the resort but definately worth every penny .,hotel prices,negative
Since it comes in a plastic bottle you ' ll want to keep it cool so that heat doesn ' t make the water absorb plastic chemicals .,shipment quality,negative
"Front desk staff could not have been more helpful and have a sense of humour , the concierge knew the answers to the questions we had , and the room was quiet and clean and comfortable .",hotel comfort,positive
so i ' m disappointed with the hotel .,hotel comfort,negative
Breakfast was very good featuring home made apple croissants .,food_drinks quality,positive
"My wife mentioned that if the vermicelli was cooked exactly as instructed on the package , noodles would come out too dry and hard .",food style_options,neutral
Stay away from the mini - suite on the second floor at the corner of Mason  Bay ; it ' s one of the noisiest hotel rooms I ' ve ever had the pleasure of being moved from .,rooms comfort,negative
"This works -- and I mean, it charges fast. I think I can charge my kindle in around 1-2 hrs. However, it's a very pricey marketing technique on Amazon's part and I feel ripped off regardless of if it works or not.",kindle,neutral
These headphones were purchased because they were cheap. And they proved to be just that. They lasted about six months. Then they broke apart and we used the microphone for skype. Then after another six months the microphone ripped off. These aren't built for durability. They worked well enough for us. We're clearly NOT very picky though.,skype,neutral
The case is not made of the most durable material but it will work in a pinch if you need it. I ordered it because I thought the new tripod I bought didn't come with a case but it did.,tripod,neutral
"These are OK.  BUT there is one feature I do not like.  They only plug in to 1/2  of the outlet .  So they are very easily knocked out of the outlet when trying to plug devices in.  They should have made them to plug in to both the top and bottom of the outlet and perhaps even replace the outlet cover and therefore screw to the outlet , like some other devices.",outlet cover,neutral
It was huge and very comfortable for the 3 of us .,rooms design_features,positive
"it was very clean , safe and",hotel cleanliness,positive
"Amazon doesn ' t have the best price , though , try a local big box store for the best price .",amazon prices,negative
It just amazing i am hooked and i cannot stop .,food general,positive
"I bought this hard drive to replace an 80 GB Western Digital Drive. I had no difficulty installing it, and the drive performed fine except for the noise. It is perfectly quiet while idle but very noisy when accessing the drive. I returned it and bought a Seagate drive with comparable specs. The Seagate is whisper quiet.",Western Digital Drive,neutral
"Hotel is located in an area with alot of one way stalled traffic , so a real pain to get in and out of the hotel if you are trying to get to meetings or the airport to catch a flight .",location general,negative
rooms are all large and clean and the chamber maid service was excellent . this is a great place to spend our vacation and we will return without any hesitation .,rooms design_features,positive
"I used two of these on different cams and found that the screw would not tighten completely, leaving the camera flopping around. If you use this be sure to add a washer to it to pull in the thread and camera.",washer,neutral
"This is good mustard , it is hot so you have to be careful with it .",food quality,positive
Just wish the cans were a bit bigger ( they are only 13 oz ) .,food style_options,neutral
Generally a nice western style hotel .,hotel general,positive
"And while the room was on the shabby side , it was clean !  !  ! You can ' t beat the price , especially for the location .",rooms cleanliness,positive
"Room wasn ' t clean , service non existent bordering on",service general,negative
"Great front desk staff Purchased via hotwire , so was unsure what I was in for .",service general,positive
Both dogs eat every bit of their food at their scheduled feedings which has been super beneficial for potty training my new rescue dog .,food general,positive
our suite was cleaned every day and mini bar restocked any member of staff no matter what their position had time to stop and chat and always helpfull for our first time in the carribean,service general,positive
and it was very noisy .,hotel comfort,negative
Great for a crowd .,food recommendation,neutral
"This little fan will blow a small breeze more-or-less in the direction you set it. It's a bit difficult to set that direction, mind you. I find that it's much more effective if you draw a psychedelic design on the center, so you can freak out while it's rotating...",design,neutral
Restaurant is overpriced and the food is way below average .,food_drinks quality,negative
I had the luxury of staying in one of the well appointed junior suites .,rooms general,positive
This stylus works but there is nothing special about it. I would have liked it to be a little heavier but in a way i guess that could be a bad thing.,stylus,neutral
"Wouldn ' t atay anywhere else in Manahattan Over the past ten years , we have stayed at Hotel Beacon four times and - having stayed at some other hotels - we would never stay anywhere else in NYC , The rooms are huge and very comfortable with a small but well - equipped kitchenette .",rooms design_features,negative
"I got this to serve as an extender for the single USB port on the back of our new LED TV, but the blue lights were so annoying, I had to mark overthem with Sharpies. Otherwise, there was a blue glow coming from the back left side of my TV on the white wall behind it. The unit works fine, but the push buttons and blue lights are unecessary novelties.",USB port,neutral
"I bought this particular charger because it would be easy to carry with me--and in terms of its size, it is. However, it fits so flush to the socket and, moreover, fits so snugly, that it's almost impossible to get it out with your bare hands. That severely limits its portability.",socket,neutral
"With regular chips and bagged snacks you get maybe 10 - 15 per serving , but with SmartFries you get 65 per serving and only 110 calories .",food style_options,positive
"It is smooth and flavorful , with a very fresh taste .",food quality,positive
theres really not much to say about a cable. it does its job connecting my motherboard to my dvd drive. no issues.,motherboard,neutral
"It's made of plastic and worked with my Polk Audio 6750 5.1 HT speakers. I wouldn't hang heavy speakers (over 5 lbs) with these and the adjustment ring needs to be really tight to hold the speakers. The plastic anchors that came with it didn't work, so I used metal ones that screw into the wall. It's a fair deal for the price.",wall,neutral
A little pricey though .,food prices,negative
"HOWEVER , the front desk screwed up a simple Kinkos delivery for me , and my traveling companion ' s reservation - then tried assigning blame on him despite his ability to produce confirmation numbers and dates .",service general,negative
"The staff are certainly accomodating and room service was adequate , but I would wait until a complete renovation of the rooms before ever staying at the Biltmore again .",service general,positive
One bag was split open with a few cups of flour all over the inside of the shipping box .,shipment quality,negative
I still like these Quaker Oatmeal Squares and they ' re still great for just about any time of day .,food general,positive
"Our Favorite Small Hotel Clean , Comfortable , Caring , Generous .",hotel cleanliness,positive
