reviewText,AspectTerm,Sentiment
Furthermore facing the street and canal you are assured of sleepless nights from all the party goers at nearby Rembrandtplein .,rooms comfort,negative
"This is my new favorite sweetener for drinks , cooking and baking - even cookies .",food general,positive
"I tried every combination possible ( microwave , hot water , hot milk ) hoping that the favor would change , especially since I bought 8 boxes of the stuff .",food quality,neutral
"The raw rooibos taste , without these "" improvements "" such as vanilla , is full - bodied and has its own unique taste .",food quality,positive
"It ' s true that some facilities could use better upkeep ( e . g .  , plumbing )  , but for the price , I would go back to Triton again in a heartbeat .",facilities general,neutral
It is sweet so no sugar needs to be added and has a nice spice to it as well !,food quality,positive
Once in the tiny room we discovered it was full of ants .,rooms design_features,negative
therefore the beat from the clubs could be felt .,rooms miscellaneous,neutral
I love these almonds .,food general,positive
"Here , you are getting 6 boxes of it .",food general,neutral
"The shared washrooms were dirty , and most all the architectural details were very worn .",rooms cleanliness,negative
"Cons - They are easily chewed through ; thus , your dog will likely finish them quickly .",food general,negative
"I thought by taking the cap off and putting them up to the eyes, it would be easy to use.  Neither myself or my wife could see out of them.  It took quite a bit of adjusting to make the distance clear.  Maybe there are better models.  This is definitely not the case.",cap,neutral
"It brews up delicious , smelling strongly of chocolate , and tasting satisfyingly of it , too .",food quality,neutral
"However , this product is pure protein and therefore not great for their kidneys if they eat too many .",food general,negative
"Absolute nightmare of a room , up three flights of very steep stairs , room very dirty , ripped curtains , mould in bathroom , stained carpets , etc .",rooms general,negative
"Also about 30 seconds from the ( underground ) train station to the airport ( 25 mins )  . Apart from the usual complaints about working the lights / blinds , and flooding the bathroom with the shower , we really enjoyed the room and our stay .",rooms miscellaneous,negative
"Unfortunately , the Post product is much sweeter .",food quality,negative
"I LOVE PB , but try not to eat too much because it is so calorie dense .",food general,neutral
My most horrible hotel stay ever ! Here,hotel general,negative
My old headphones were disintegrating so I looked around and found these Panasonic RP-HT21 Lightweight Headphones with XBS Port . They arrived on time in great packaging. I had to modify them to fit my bald head. They work great now.,packaging,positive
"I was glad to get the replacement lense since my original one was stolen from my house.  When I installed it onto the camera and placed it on Auto focus option,  the lense kept trying to focus going back and forth but never stops attempting to focus on anything,",Auto focus,neutral
They are so delicious and with much better ingredients and less preservatives than nutra grain bars .,food quality,positive
"It was not bad tasting , but I drink enough whey and have experimented with various whey ice cream recipes and this reminded mea bit of some of the concoctions I have made and for the price it just wasn ' t that special of a treat .",food prices,neutral
"The popped kernels are definitely smaller than normal popcorn and frankly , I do not find the popcorn fluffier or less "" husky "" .",food style_options,neutral
I love the flavor and the kick !,food quality,positive
I will definitely be staying here again in the future .,hotel general,positive
"The location was excellent , and the service was superb .",location general,positive
"great value - in der mitte just returned from a two night stay at the mercure - a very unpromising facade , but don ' t let that put you off !",hotel prices,positive
"If you like chocolate intense , you ' ll love this stuff .",food recommendation,positive
"Chews on everything else in the house , anyway .",food general,neutral
Location is Okay in DC .,location general,neutral
"The hotel could use some freshening up , and I agree that it ' s not four - star quality .",hotel general,neutral
We stayed at the Hotel Regina in May 2007 for 4 nights and the hotel was just perfect .,hotel general,positive
"These are OK earbuds as far as sound quality but not better than ones that came with my Zen-M. They are more durable than orgionals and stay in the ear better but they seem to take more volume to hear well and I find the sound quality on the Koss ""Spark Plugs"" much better.",sound,neutral
"She will not eat IAMS salmon & brown rice , barely will touch the Chicken Proactive Health .",food general,negative
This is the perfect drink for working out .,food general,positive
"Nice small switch, works immediately after plugging. Plugged it to a DLink router to split internet connection and feed all my PCs; works great.",switch,positive
"If you are having trouble with your dog heeling or following you around the house , just keep a few of these in your pocket and she ' ll follow you everywhere !",food general,positive
Maybe I just got couple of old ones or something but the 2 of this flavor that I tried were as hard as rocks .,food quality,negative
"Only two minor gripes - we got quite a small room and the prices quoted on their website exclude Goods and Services Tax , a 10 % tax that everyone has to pay .",hotel prices,neutral
"And , the pieces are big , so I can use only half a Pill Pocket each day for his pills - - saves me money .",food style_options,positive
Good clean rooms if not a bit ' worn ' and perhaps in need of a little updating .,rooms quality,neutral
"The bread baked perfectly and tasted great . it had a different texture than regular bread , but was still very tasty .",food style_options,neutral
"They are a great size for training , however they are a little more chewy than I thought they would be .",food style_options,neutral
"they told me they are going to take care of it , but it took them too long . it ' s true that the hotel is very quiet though .  .  .  .",hotel comfort,positive
I think they are plenty sweet and delicious .,food quality,neutral
"Quality of the peanuts are okay ( on a quality rating scale of okay , good and fine ) but the size of the peanuts are the smallest I have found in my local grocery chains .",food style_options,negative
"The room we had was very basic , had no safe , was tiny and despite being at the rear of the hotel , were subjected to noise during the night like there were dishes being constantly smashed .",rooms general,neutral
Staff were friendly and most helpful and the breakfast was truly great - kept us going for most of the day .,food_drinks quality,positive
i have to say i was not pleased with the product apon arrival . it was not even in any type of box . . just wrapped in a bag . . the product itself had scratches on the plastic and seemed like cheap plastic . im surely not pleased with the price i payed for it,shipment prices,negative
"Room typical smallish European , but we didn ' t go to Berlin to stay in the hotel !",rooms design_features,negative
"and whilst I knew that the rooms can be shabby , due to the location and an excellent deal at $ 70 per night ( inl breakfast )",rooms cleanliness,negative
"There is nothing especially important to say about this cartridge. They do their job flawlessly.I use it in my BROTHER model PT-70Brother PT-70 Personal Handheld Labeler with special time & date functionIt works well, lasts long, and provides quality labels.And the price is much better on Amazon.Hope this helps you!",price,positive
It was a great purchase !,amazon availability,positive
"Within a month of purchase, 2 of the 5 channels on this switch were dead.  This is unacceptable quality control on such a simple device.",quality control,negative
It ' s a little hard to 1st get used to the taste but now I love it .,food quality,neutral
and there was a lot of road noise and we used earplugs .,rooms comfort,negative
"Old fashioned decor charming , bathroom small but fine , robes nice .",rooms design_features,neutral
"It does work for the purpose I got it, but then when I use the lens cover to prevent them from getting scratched, it keeps coming off loose. Not sure if I will come back to this product. Thought, Bushnell was a quality product producing company, hmm?",lens cover,neutral
The room is nice but it is dusty .,rooms cleanliness,negative
Plain box with some cups glued to the sides with leaked product .,food general,negative
"The price is a bit steep , but the clean and comfortable room with a 42 HDTV made up for it .",hotel prices,neutral
The rooms were small but adequate and the breakfast room was a bit of a squash but otherwise no complaints .,facilities design_features,neutral
Kinda clean .,hotel cleanliness,neutral
It came arrived very well packaged and appeared just like it did in the photo .,shipment quality,positive
"It came in a resealable , thick plastic bag .",food general,positive
"This works for the practical things such as printers and keyboards. However, if you need to connect something that is data heavy and requires the use of USB 2.0, such as an external hard drive or a HD camera, you need to look elsewhere.That being said, the high price disappoints me for such old technology. Although, it overall depends on what you need it for.",external hard drive,neutral
They arrived fresh and were not in crumbles as some other chips from Amazon Grocery have been .,food quality,positive
We would definitely return .,hotel general,positive
Get a room off the front of the hotel and higher up toaviod street noise .,rooms comfort,negative
"The rooms were clean and secure with extra conveniences such as a hair dryer , safe , patio and a decent sized bathroom .",rooms miscellaneous,positive
"Somewhat small rooms , but hey .  .  .",rooms design_features,negative
"Even worse yet , despite cancelling , my credit card was still billed and after 6 calls and several e - mails to the hotel , including Leah the manager I was never responded to !  !",hotel miscellaneous,negative
"I know I could have ordered double zout , but this for single salt should have been slightly saltier .",food quality,negative
I did get a fair price on this 40 OZ bag though,food prices,neutral
"While it was not luxurious it was clean , the pool / courtyard area were fantastic and easy to get to , and the staff was friendly and bent over backwards to help make our stay enjoyable .",hotel design_features,negative
I was expecting a larger granual suger and am dissapointed in this product .,food style_options,neutral
"I put this in my VCR and it turns off the VCR.  I've tried everything.  It runs VCR tapes fine, but when I put the Maxell Head Cleaner cassette in, it turns the VCR off.  Then when I turn the VCR back on, it ejects the tape.",VCR,negative
"location good hotel spotless breakfast great , rooms little small but never in em only to sleep .",location general,positive
"Great shipping , timely .",shipment quality,positive
I can ' t review these cookies completely honestly my family ate them all before I even got home on the day they arrived .,food general,neutral
"The product is just ok , but being hounded to leave reviews / feedback prevents even a three star review .",food general,neutral
Will definitely be back .,hotel general,positive
Haven ' t missed drinking this tea each morning for two years .,food general,positive
There was a filtered water access in the hall so need for buying bottled water .,facilities general,neutral
i purchased a new tv for christmas with a blu ray player. I lose power a lot where i live when we get thunder storms. I got this to protect my electronics.,blu ray player,positive
Met or exceeded ALL expectations !,hotel general,positive
"It is smooth , creamy and delicious , we don ' t get anything else now .",food quality,positive
Only thing I found was strage is that the packaging went from 2 calories to 3 per treat - no biggie just weird .,food general,neutral
"I suspect this may be garbage made in China because the price is awfully low , which is a tell - tale sign it was made in China .",food prices,neutral
"Nothing fancy , nothing too shabby .",hotel design_features,neutral
I ' ve tasted better and worse .,food quality,neutral
"The hotel had an impressive large 24 hour reception area , lounge , restaurant and bar , all appeared to be recently renovated / decorated .",facilities design_features,positive
"The staff were very firendly and best of all the spoke english which is alot of help , the room was very clean and the location was perfect 8 min walk to the beech and two stops away by metro into the city",location general,neutral
"Breakfast was enjoyable and the rooms were small , but clean !",rooms design_features,negative
"Hotel is on the noisest corner in Waikiki , Rooms have old chipped paint , smelly drain fron sink , poor beds , not very impressed at all .",room_amenities design_features,negative
"The room was lovely , really big and with added extras such as free aveda toiletries , a well - stocked mini bar and a pillow menu , so you can choose the pillow that suits you and your needs best !",rooms design_features,positive
I understand they came out with a replacement model which was selling for twice the price. I'm glad I found this one for its phase out price because I needed two of them. I installed them both and ran the cable TV wire through the provision for that. Everything works perfectly.,installed,positive
"In fact , for my taste I made the coffee a second time and stronger because at first the chocolate flavor seemed to diminsh any taste of coffee .",food general,neutral
"While it's not a great binoculars, you get what you pay for.  For its price it's good.  Don't expect to see clearly through it however.  If you want to see well - get better quality glass and light gathering.",price,positive
It tasted quite a bit like seaweed .,food quality,negative
"Despite the initial oohing and ahing over the pretty blue flowers , this is a regrettable purchase .",food general,negative
"It may seem petty to complain about packaging for a cat ' s toy , but the items recieved were NOT as pictured , and were squished entirely flat and all 4 of them were torn .",food style_options,negative
"In researching dandelion root , I came across a lot of different , sometimes contradictory claims , none of which seem to be backed up by any serious research .",food general,positive
The location being next to Central Railway Station is an asset and make it very easy to get to all locations whilst on holidays .,location general,positive
"This place has pseudo - hip styling flourishes that serve no purpose and dance music is piped into every conceivable public area ( gym , elevators , lobby , restrooms , etc .  )  .",hotel design_features,negative
Not that bad,hotel general,neutral
This is the card that is needed to fit the rest of the maps and traffic updates onto the Garmin nuvi 1450. Works great.,card,positive
Not great .,food quality,negative
"Overall , a disappointing product .",food general,negative
Got several of these 3 foot RG45 Cat 5 patch cable to hook up the connections on my home network distribution panel.  I like these over the stiffer and inflexible yellow patch cables which were way too long.  These 3-footers are just the right length and much more flexible to route it around the 19&#34; distribution frame.,length,positive
"The staff was friendly , and extremely helpful .",service general,positive
"We stayed for three nights in total , it may be a bit small for people on a longer stay ( 1 week )  . As mentioned in other reviews , it have a more of a BB feel than a hotel feel so if you are looking for somewhere more like a hotel then I would look elsewhere .",rooms design_features,negative
It was a great holiday,hotel general,positive
"Not your average hotel room I ' ve stayed at this hotel twice , the first time with a group of girls for our friend ' s bachelorette party .",rooms general,neutral
I plugged the drive in and my Win 7 PC indicated it was downloaded a driver.  After that I could read and writes files just fine.  It does have an annoying habit of refusing to eject disks with labels on them.  I've had to simultaneously hold the eject button and extract the disk with tweezers.,drive,neutral
I love the flavor of this sugarless gum .,food quality,neutral
"A bad product , from an even worse company .",food general,negative
"We stayed in a standard room , very clean and lovely .",rooms quality,neutral
I always have my kids peel the back off the tape cause I run out of patience. Otherwise it's fine.,tape,neutral
The hotel was very clean and the staff friendly and helpful .,service general,positive
In less than 45 minutes you can serve an elegant meal .,food quality,positive
They need a low cal option and there aren ' t that many in the stores .,amazon availability,positive
Only one negative to report -  - the new paint fumes in the hotel rooms on our last night .,rooms comfort,negative
"I had heard of them from someone , but wasn ' t sure that something that sounded so good for you could really be good as candy , but I was pleasantly surprised !",food general,positive
"Luckily we weren ' t going for GF , just Wheat - free , so I was able to salvage it and the taste was okay ; wasn ' t really pizza dough . but for my son who hasn ' t had a pizza in two years it was acceptable .",food quality,neutral
"The food is mediocure at best , 11 restaurants , only three or four open each night , beach chairs moldy and streached out , dirty beach , mildewed rooms , worn fabrics and furniture in rooms , mini bar not stocked or cold , disagreeable staff , bad service and bugs in the rooms .",rooms quality,negative
"It ' s Dutch , it ' s good !  !",hotel general,positive
"It ' s not bad , but there are other powders I like better - the main advantage this one has over those is that it is pretty low in calories .",food general,neutral
Staff at the hotel are polite .,service general,positive
"I ' m not sure what these other people are use to , but this brand of chai was WAY too sweet .",food quality,negative
"It is clean , well kept with minimalist modern decor and the staff are extremely friendly and helpful .",service general,negative
"For what I needed, i.e. parts to fix another pair of headphones they worked fine.  Quality is ok, sound is descent but you get what you pay for.",Quality,neutral
"location good hotel spotless breakfast great , rooms little small but never in em only to sleep .",food_drinks quality,positive
"The Herbert Hotel is located close to the Union Square , the very center of SF , and on Powell Street .",location general,positive
Highly recommended .,hotel general,positive
"It ' s not really bad , but does not give value for money .",hotel prices,negative
"So a delicious treat , portable , and only 120 calories !",food general,positive
"Unfriendly staff ( except the shop keeper who ' s very helpful )  , special mention to the manager who is especially rude and unhelpful to his guests .",service general,negative
The spa tub was cracked and the glass shower door came off while in the shower !,room_amenities quality,negative
great location !  !,location general,positive
I am here today to say this drink is awesome !,food general,positive
These are pretty spendy but in the long run well worth it since you only need a couple beans to perk you up vs the other brands that are out there .,food prices,neutral
A little too isolated to get off the resort .,location general,negative
Food and rest of the resort is nothing special .,food_drinks quality,neutral
Above Average Hotel Stayed for three nights in June 2005 .,hotel general,neutral
Bathrooms also are old and leaky .,rooms quality,negative
"Clean , stylish rooms .",rooms cleanliness,positive
The hotel ' s shower curtains were moldy and it was outof the way which made taking a taxi to and from the hotelnecessary .,room_amenities quality,negative
. . but the product photo threw me off a little .,food general,neutral
That ( second ) batch was disappointing - not nearly as full - flavored as the first .,food quality,negative
I have a ipod touch i bought this item before i realized that my ipod already has a built in mic and so haven't used this mic and never needed it.,ipod,neutral
I can say this hotel is on everage quality and I will return only If I could be able to find a very .  .  . very .  .  . good price .  .  .,hotel quality,neutral
"These Almond and Apricot are akin to an Almond Joy , but without the chocolate .",food general,neutral
I bought this to label my CD cases and the size is just right for the full thickness cases. I am sure I will find other uses for this narrow size.,size,positive
"The rooms are motel like , but sport great views of the city , especially at sunset and dawn .",rooms design_features,neutral
Great transit hotel,hotel general,positive
"The first two times I plugged this into my projector, it took a couple times unplugging and replugging to get it connected.  Now I can't get it to work at all.  Unfortunately, I had it over a month before I tested it, so now I can't return it.",unplugging,negative
I got this stuff for her because of the raw organic benefits .,food general,neutral
"So while I love this organic version , I will probably opt in the future for a cheaper natural alternative , unless someone gives me a good reason for sticking to the organic kind .",food recommendation,neutral
She ' s a Cocker Spaniel and made quick work of it .,food general,positive
The decor is understated and the staff was absolutely first class and without attitude .,hotel design_features,negative
Pepperidge farm sure did it right with these cookies .,food general,positive
"That ' s a bit too many calories in a snack for a young child , I think .",food quality,neutral
"I don ' t know if it ' s different ingredients or my faulty memory , but the stuff is terribly disappointing , and borderline disgusting .",food general,negative
Can ' t wait til they become avaiable again .,amazon availability,neutral
"Regardless of the current economy , what was a fair price , quickly became ridiculous .",food prices,negative
"No a good purchase, Not a good helper, not even a good antenna. It helps with signal and of course with noise.It was a very expensive shipping. Same as antenna.",shipping,negative
"it is a lovely hotel , very well located , although not a lively neighbourhood the most important sites ( Alexanderplatz , Nikolai Viertel , Bradenburg Tor etc ) are within 15 - 20min walk and the metro station is 1min from the hotel entrance",location general,positive
"Friendly staff , clean rooms and hotel - great breakfast included every morning .",hotel cleanliness,positive
"The bed was terribly uncomfortable , the room was small , and the view was terrible .",rooms design_features,negative
The best price is on Amazon . com .,amazon prices,positive
clean and tidy maid was a bit hit and miss with towels but not a problem beach was very nice and clean plenty of entertainment regardless of what you liked,service general,neutral
What really irritated me was when I checked my credit card they had charged me an additional US $ 185 for late checkout without any notification ( I had used their express checkout service and left the room by 11 . 00am )  .,service general,negative
Just enough .,food general,neutral
Best location and very nice rooms,rooms general,positive
Breakfast is very good and the light snacks in the roof bar are excellent - plus the open terrace is a great location to sit and have a glass of wine and admire the view .,facilities general,positive
"Price was decent using the subscribe and save program , and the product was fresh .",amazon prices,positive
"If you ' re a chocolate - loving coffee drinker that enjoys a hot mug of joe in the morning , this might just be the perfect coffee for you - chocolatey flavor that wakes you up , AND gives you your jump start !",food quality,neutral
"We had complimentary breakfast included which , while basic , was adequate .",food_drinks quality,neutral
Other thanthe cost of shipping a very good deal .,shipment prices,neutral
"Interior build - out , however , was done way too frugally , and there was lots of deferred maintainance in room .",rooms quality,negative
"i thought this cake would good by the reviews . i could not believe the texture , it was like jello , really strange . i had 4 other people try it and they felt the same way . very unhappy",food style_options,negative
The cookies are indeed soft and chewy but really nothing special .,food general,neutral
This tea taste great and all have said no aftertaste as some teas do .,food quality,positive
"Yes , it is spicey .",food quality,neutral
I want to stay here again .,hotel general,positive
"First of all , this order took forever to arrive .",shipment quality,negative
"I drink it without sweeteners , and also cold .",food general,positive
"Due to the poor flavor , I threw the coffee away and will think twice before ordering coffee from Amazon again .",food general,negative
My wife recently traveled to Germany with this unfortunate converter choice.  It failed to operate.  I caught several of the other reviews on this item that also indicated instant or premature death. Think there might be a trend.  I can not recommend.,converter,negative
"If you like strong , bold coffee , this is for you .",food quality,neutral
"While the building is older , worn , and was never fancy to begin with ; the rooms are big , comfortable , and in a perfect location .",hotel design_features,neutral
Bed was like sleeping on a cloud .,rooms comfort,positive
"From what I could see , other more expensive hotels near the area probably can ' t claim to have the view that we did .",location general,positive
The location was not like being in the heart of Sydney but there were some good eating places close by and it was not far by taxi to Sydney center .,location general,neutral
The beds are a bit lumpy and the walls need some paint .,rooms design_features,negative
May cost a bit more then others but,food prices,negative
The steaks are wonderful and I will definitely purchase more when I see the sale I like .,food general,positive
Very nice Hotel Very nice hotel !,hotel general,positive
I read about Cacao Beans and the health benefits that come with eating them . they are extremely bitter but that is what they are .,food quality,negative
We stayed for four nights in room number 4 and loved it .,rooms general,positive
Got a room overlooking just that .,rooms general,negative
"Instead of the normal slab of meat , like BFF ' s other flavors , this one is soupy , and apparently not very good .",food general,negative
"There ' s a distinct but not bad taste at all , and it cuts the "" just fruit "" taste of the smoothie .",food quality,neutral
"Good cable, no drawbacks, works fine, clamps on firmly, not much to add here",clamps,positive
"We make an 8oz cup and it has a great aroma , mild taste - not bitter , not acidic .",food quality,neutral
The only downfall of our trip was that we found most of the staff to be extremely rude and not very attentive and courteous .,service general,negative
Don ' t believe anything you read or half of what your hear We recently came back from this resort .,hotel general,negative
"very secure, we did have to use concrete bolts thought since we were putting it on an outside wall made of lath and plaster with concrete brick on the outside.  One of the best features is there is one piece that attaches to the tv and another that attaches to the wall.  the piece on the tv actually hooks onto the piece on the wall.  I am really happy with this purchase.",features,positive
"I thought I was buying the Kensington 64068 but what I received from Amazon was a discontinued 64084 commercial model with an ""HP approved"" logo on the box and black HP-branded keys.  It works Ok but looks cheaper than the model in the illustration.  It's not worth the trouble of returning but I feel somewhat cheated since I saw an identical unit on eBay [...].",box,neutral
"I have had this switch for many years, and recently it has been cutting out.  I have a desktop PC, PS3, Xbox 360, and Samsung HDTV connected to it now, and often when I turn my computer off then back on, the switch does not work until I unplug it and plug it back in.I realize the device is positively ancient, but this should not happen.",switch,negative
"good - pools were nice , gym was basic internet was fast enough",facilities general,neutral
"The quality of the service and back drops are not great , but if you can overlook the details it is worth the stay .",service general,negative
My only complaint if you want to call it that was that it could have been a little bit saltier .,food quality,neutral
The room ( # 6 ) is very small and obviously the web site photos are very unrealistic .,rooms design_features,negative
"Not much of a description on the box and no instructions , but it ' s pretty much a tea bag that says this side down .",food general,negative
This product performs as described. I have no complaints. I bought it to use multiple computers from my internet connection using wired connections. So far it's worked flawlessly.,performs,positive
"Our non - smoking floor smelled of cigar smoke , the room was small and dingy with stains on the carpet , the bed and pillows were uncomfortable and the hotel certainly needs some remodeling .",hotel cleanliness,negative
I was truly disappointed .,food general,negative
The effect is a bland flavor .,food quality,negative
"The second try was the Cherry Cheesecake , which tasted like cherry flavored cough syrup .",food quality,negative
"If you only need to carry around your digital slr camera with one lens and no accessories, this bag will do, but you still have to be careful cause it doesn't provide any protection against falling.",lens,neutral
My only quibble is that my local store is selling them for $ 17 .,amazon prices,negative
I bought this tablet for someone as a gift. I was so confused about which one I should get them. I definitely chose correctly for them.,chose,positive
"i just happened accross this oil in a market one day and decided to try it . it is one of the best i ' ve had . i later saw that Batali uses it on his show . thats kinda cool . it is a great oil though and has a great fresh flavor that is good with anything , and even by its self .",food general,positive
"Easy to use, I needed them to organize all the cables in my desk, they work but I would rather to get the 6 of them in one single color.",cables,neutral
I hope they make more gluten free desserts !,food general,positive
She loved it .,food general,positive
It is centrally located in a safe area .,location general,positive
"Unfortunately , the Colon Hotel rooms turned out to be run down , with stained upholstery , linens , and carpeting , no air conditioning , and an old , lumpy bed .",rooms quality,negative
"No hotel is perfect , so high marks for quick fixes at the Sofitel , D . C .",hotel general,neutral
Add whatever type of sweetener you like and you have a great flavored tea .,food quality,positive
My only issue is that it does contain MSG ( which I didn ' t notice until ater,food general,negative
Not sure why so many 5 star reviews. They work okay. For the price I'd buy them again ($3) no question. They are cheap headphones that you'd expect to get with an old Walkman or hand held CD player.,price,positive
Nice price though !,food prices,positive
I have tried hundreds of hot chocolates from the really expensive and really cheap and this is by far the best you can ever have .,food general,positive
"I stay there because of price and location only and only when I ' m alone , would not offer it for family .",hotel miscellaneous,neutral
Fast shipping also .,shipment delivery,positive
They taste like,food quality,negative
"lil place small , needs remodeling .",hotel design_features,neutral
The breakfast area was tastefully decorated with smelly garbage bags the day after Christmas .,facilities design_features,positive
The tamari is far too slight and the sesame is not noticeable at all .,food style_options,negative
There really isn ' t a lot to say about Chips Ahoy ' s new Chewy Gooey megafudge cookies .,food general,neutral
"not very big , anyway that is the normal size of hotel in Hong Kong .",hotel design_features,neutral
"clean , basic room , great location",rooms design_features,neutral
"Wonderful Choice location wise This hotel had such a wonderful location , that made me forget the noise during the evenings from the next door bar , and the rudness of the people at the front desk .",service general,negative
The planks are chewy enough that they taste kind of stale just as a granola bar or snack by themselves .,food quality,neutral
Room was large and comfortable but smelt A LOT of cigarettes .,rooms quality,negative
So beware tender mouths .,food general,neutral
UPDATE : I think they have changed some of their recipes .,food style_options,neutral
"Breakfast was included in our rate and was very comprehensive with a great cold buffet selection as well as hot eggs , bacon , toast etc .",food_drinks quality,positive
Belkin 3-Foot RJ45 CAT 5e Snagless Molded Patch Cable (Blue) worked just as it was I thought it would. Pagkaged well and arrived on time.,Pagkaged,positive
. .  . centrally located .  .  . excellent and very helpful staff .,service general,positive
The flavor is wonderful ; not too strong or too hot .,food general,neutral
"Didn't see that they were any better than other buds I have. Again, OK for the money. yo yo yo",money,neutral
They didn ' t last long .,food general,negative
Not much to say that hasn ' t been said before about the Carbon ' s Golden Malted Waffle and Pancake Mix .,food general,neutral
I don ' t have sophisticated coffee taste like the other reviewers for this coffee but here ' s my take .,food quality,neutral
Nice Airport Hotel Very nice overnight stay at the Steigenberger .,hotel general,positive
This is a good quality coffee for a great price .,food prices,positive
I liked the auto - delivery discount but was very disappointed with all the extra packaging before .,shipment delivery,neutral
"However , still looking to reduce cost further .",food prices,negative
The room was very comfortable and convient to all the popular places .,location general,positive
"Unfortunately , as much as I wanted to like these , they didn ' t taste like food - hard to describe , but the ' primal ' branding doesn ' t help as I did feel like I was eating something I wasn ' t supposed to .",food general,negative
I cannot say enough good things about this place .,hotel general,neutral
Quality hotel at great price,hotel quality,positive
"Now, I'll admit I didn't strip it down and count how many twists per foot, but this blue three foot belkin CAT-5 cable is just about all you can expect from a functional blue 3ft piece of CAT-5 with molded plugs. Yup, shore is!",plugs,neutral
This a decent headset for the price.  It is somewhat comfortable and appears to be durable.  I bought 2 just in case.,headset,positive
"I am satisfied because of the price. I was expecting a far greater zoom capability, but it's better than the lens that came with my T3. I find no reason to get the more expensive versions with the IS because I have steady hands. I would recommend it.",IS,neutral
"The hotel is quite basic , with a bar fridge and kettle , very clean and well located in Wanchai , with shops ( two good bakeries nearby ) and Times Square an easy walk , transport is very close .",hotel general,neutral
This gravy is a little more bland than I expected .,food general,negative
It is one of the least expensive brews on the market that don ' t disappoint the drinker .,food general,positive
Germination is fast and rate is high .,food general,neutral
Loved it,hotel general,positive
"I actually don ' t buy during summer for spoilage reasons , so stock up once spring comes .",food general,neutral
"I was skeptical about using the Palm, but once I started it quickly became indispensible.  I have eight large rolodex files on it plus tons of memos and 'to do' items.  The 2mbyte of memory is still handling it with no  problem.  .........GIVE IT FIVE STARS!",of memory,positive
"Personally , I wouldn ' t purchase these oatmeal squares and would opt for a nutritious cereal with more taste .",food recommendation,negative
"It is joined by the skyway to 2 rather pricey malls , but is was good not to have to go outside to shop .",facilities prices,negative
The chocolate is a little biter which detracts from the overall flavor resulting in a 4 .,food quality,positive
"This is very much a business hotel with a clean , sophisticated reception area , very professional staff and good sized modern rooms and bathrooms .",facilities design_features,positive
"But - I add it every day to my morning coffee and for that purpose , it is the best hot chocolate powder around .",food general,positive
"All in all nice hotel , the rooms are great , spotless , well stocked , and mine anyway would have had excellent wheelchair access , the reception and staff are helpful and the breakfast was simple , but tasty and filling .",food_drinks quality,positive
I have cconsumed over 30 different varities of KCups and this is by far the worst one yet .,food general,negative
This hotel is advertised as five star !  !,hotel quality,negative
We had a one bedroom suite w / a full kitchen which was great !,room_amenities general,positive
"The only downside was , that some of the staff could have been more attentive and friendly .",service general,neutral
The hotel is small but looked brand new to us .,hotel design_features,negative
Highly recommend this quiet 2 star,hotel general,positive
"can't have super-high expectations given the price, but they're not as comfortable as i'd hoped (or as other cheap sets have been).  still, they work and sound fine.",price,neutral
"The staff are very false , behind their smile is a very miserable person .",service general,negative
