reviewerID,asin,reviewerName,helpful_yes,helpful_total,reviewText,overall,summary,unixReviewTime,reviewTime
A3BMUBUC1N77U8,0972683275,ahoffoss,0,0,This mount works really well once you get it up and going.  Only problem is just the arms are a little goofy getting them all in the right spot.  But that's really not too big an issue considering all the different TV's and their mounting hole locations.,4.0,"Pretty simple, but definitely good!",1385164800,"11 23, 2013"
A3UOSOCRKS3WIH,0972683275,Allen Coberly,0,0,for the price you just cant beat this item. I bought it for a house I was selling so I could hang some tv and it worked great. Good quality for the price.,5.0,Cant Beat it!,1368316800,"05 12, 2013"
A7060R14RJF3I,0972683275,Amazon Customer,0,0,"Took a bit of work, but used this to fit an older vizio 32&#34; monitor to the wall to use as a compute monitor. Stable and like the ability to move the tv to different angles. The vizio was older and did not have the standard holes, this product fit and holds the tv very stable.",4.0,Works,1368835200,"05 18, 2013"
A26QCCO0101CO1,0972683275,"Amazon Customer ""jkhinch""",7,9,I used this for my 47&#34; Samsung. Its fit/feel is great. Easy installation. Appears strong; although I personally spent way too much on the tv to risk leaving it fully outstretched with too little lag bolts for a long time! It is very convenient to be able to move it away from the wall however and I would feel very comfortable tilt or swiveling if needed. The movement is fluid and easily adjustable.I am very pleased with my purchase.,5.0,Just what I'd hoped,1361404800,"02 21, 2013"
APBF796U7GUTV,0972683275,"Amazon Customer ""steve-mc2""",1,1,"This item serves its purpose as well as any other mount.  Its most appealing attribute is its large range of motion.  I am using this to corner-mount a 32"" TV and it works perfectly to hide the mount, receptacles, and cables behind the TV.  Very easy installation as well.",5.0,Nice Mount,1331942400,"03 17, 2012"
A2HLNXOYLMERTC,0972683275,anthony smith,0,0,I love this mount.  This is the 4th one I've bought and it works great every time.  excellent seller and excellent product,5.0,Buy this mount its the best,1397606400,"04 16, 2014"
A3CCITVF0WL6KE,0972683275,A. Ramos,0,0,I am very glad for buying it.  It is heavy duty and good quality for the price.  It was very easy to install.,5.0,VideoSecu Swing Arm TV Wall Mount,1357689600,"01 9, 2013"
AYQNWE3AX4H08,0972683275,"arl6969 ""arl6969""",0,0,this holds up my 55inch sony with ease. make sure u mount this with ur own lag screws into the heart of the 2x4 ur mounting to and u won't have any problem--u may have to make a modificatoin or two but use ur brain and figure it out-- it'll be there till the house falls!!!3inch lag screws is the way to go don't be cheap go buy em.---how much did u pay for the tv????,5.0,work great,1374105600,"07 18, 2013"
A3P24ZSF9IQRJJ,0972683275,average customer,0,0,Nice quality still works great... very happy with this purchase... need to add 10 more words.. so what can I say its a wall mount that I haven't had any problems with,5.0,great,1402617600,"06 13, 2014"
A1JI3XL5ME8CWM,0972683275,Beakeagles,0,0,"Great bracket for small TVs.  I used it on a 19"" LCD and it worked well.  The large mounting plate may block some connections on some TVs.  Installed easily and could be adjusted to make level.  The links were very tight and need to be loosened for initial installation.  When the TV is in the desired position, you can tighten them up.",4.0,Great product for money,1336435200,"05 8, 2012"
AQBLWW13U66XD,0972683275,"Benjamin Belanger ""v dbl u""",0,0,"I bought this for a 22"" TV for my son. I mounted this onto the corner stud and it works great! I love the angles it can achieve. Fees Very sturdy and well built. It works perfect for my application. Very happy with this purchase!",5.0,High Quality/Low Price,1375574400,"08 4, 2013"
A12AU3CNAWYO5D,0972683275,bonbon,0,0,"Didn't think it would work as well as it has,because the metal was a lighter guage thanwe expected, but it hardly deflected from theweight of the TV, even extended straight out.",5.0,Works like a charm so far,1356220800,"12 23, 2012"
A5O0P0JV6PLU3,0972683275,bone,0,0,"very heavy duty construction, extends, tilts perfectlya steal at this pricewill be happy to buy another 1 or 2 if needed",5.0,deal!,1353801600,"11 25, 2012"
A27X48PMUGK6U4,0972683275,Boyd,0,0,Well constructed wall mount for TV sets up to 37 inches. The mounting  plate has numerous holes for varius sets. Plenty of extra hardware provided. Price was about 1/8th of what it would cost on the open market. I recommend it highly.,5.0,HD TV wall mount,1290211200,"11 20, 2010"
A27XULAA9X5ZGQ,0972683275,Branon Young,0,0,"This mount is excellent. It is very well built and sturdy. I used it to mount a 32"" TV and it fit the need perfectly. The price was also very good and much, much cheaper than what an inferior mount would cost in a retail store. I would definitely recommend.",5.0,Very Pleased,1329436800,"02 17, 2012"
A3IIGCFLKVFW8M,0972683275,"Brian M. Kaplan ""Brian M. Kaplan""",0,0,Works great and is so much cheaper than the more expensive versions at the Big box stores. It is super easy to install yourself too. You just need a drill and a ratchet set to get it into the stud (oh yea a stud finder too).,5.0,Holds a lot,1393459200,"02 27, 2014"
A20VSTDILG9K7H,0972683275,Busy Momma,0,0,"We bought this for the tv in our gym as it gets moved around a bit.  It's definitely sturdy and works well.  Our tv in there is 24&#34;,",4.0,Works well,1402617600,"06 13, 2014"
A20Q4FIBCAG2ZV,0972683275,cameron,0,0,This mount is easy to install and very sturdy and is very functional and very affordable for the price. A+,5.0,great product,1366848000,"04 25, 2013"
A1980MGZXSGJP,0972683275,"Captain ""Captain America""",0,0,"Works like a charm! Lies flat on the wall when I want it too and pulls out and swivels like a charm when I need it too!The instructions call for it to be mounted into a stud in the wall, however mine is mounted directly into the drywall using heavy duty anchors and it works perfect as well! This is a great product for an amazing price!",5.0,Great product for a great price!,1361059200,"02 17, 2013"
A1GLL5CJ1SFAMS,0972683275,"Carolyn D ""Carolyn D""",0,0,"Easey to put together and install. Used to mount a 37"" LED flat screen. Instuction say to mount the complete unit but if you mount the TV to the back plate on the ground first its a one person job. Well built product for being made in China.wish you could buy American made, better luck next time.",5.0,wall mount,1326326400,"01 12, 2012"
A2683OJ85CLWFA,0972683275,Castle,0,0,I hung this in my house with great ease and it held up my 8 year old son because I wasn't going to put the 55&#34; flat screen on it to find out that it failed. Fully extends out 2 feet. This was worth the money.,5.0,Booyah!,1360454400,"02 10, 2013"
A3M6S7Y1FNPOLD,0972683275,"Charlie Troutman ""Charlie""",0,0,"Wanted the monitor off of the desk, so we mounted on the wall.  I would have rather had a vertical adjustment as well, but for the price, this unit does the job.",3.0,"for 25&#34; monitor, it worked well",1355097600,"12 10, 2012"
AOU1TM9UA1BZF,0972683275,chicago mom,0,0,"very secure, we did have to use concrete bolts thought since we were putting it on an outside wall made of lath and plaster with concrete brick on the outside.  One of the best features is there is one piece that attaches to the tv and another that attaches to the wall.  the piece on the tv actually hooks onto the piece on the wall.  I am really happy with this purchase.",5.0,awesome,1388620800,"01 2, 2014"
AJIA55AVU0CUS,0972683275,"Chris C ""Chris C""",0,0,Holds the TV fine and the articulation is great.  We use it in a downstairs bedroom where we can move it to be seen from the bed or the treadmill.  Has cable mgmt as well.,4.0,"For 22"" LCD",1364947200,"04 3, 2013"
A3C51ESBUD8QAJ,0972683275,chuckn,0,0,Another great buy from Amazon. The local stores wanted twice the money and the other mounts were cheaply made. this mount is made well and you get a free hdmi cable and level with it,4.0,videosecu articulating wall mount,1324598400,"12 23, 2011"
A3IC6OB22INS9,0972683275,C. Johansen,0,0,Just to know that the TV will sit off center of where the base is placed. Other than that it has held up and worked.,4.0,product worked as advertised.,1369353600,"05 24, 2013"
A3QH8VQDE7HZCR,0972683275,costaricachris,15,19,"Quality was excellent. Instructions were clear. It was not clear about a tilt feature, but there was enough to level it when I finished. Be careful to get the wall bracket real vertical. (I was using it for a 23 inch computer screen so I really need it to be level for reading.) Everything I needed plus lots of extra hardware for different situations.",5.0,Real value for the money,1286236800,"10 5, 2010"
A2E5IK9TUH8UPD,0972683275,David,0,0,"For the price, this wall mount is great.  Not too hard to install.  The only reason I didn't give it a 5 star is wire management.  I could not get the little loop to work.  Not a big deal at all however.  Overall, I highly recommend this product.  Well worth the money.",4.0,Easy to install.  Wire managment is not the best.,1331078400,"03 7, 2012"
AEQR0VUFBZXUY,0972683275,"D. Durbin ""Student of Poetry, Student of Life""",0,0,"Needed a corner mounted Flatscreen. This did the job well, easy to install. I had to mount in a metal stud, so I used two support boards in the back to distribute the weight more evenly. Expectations of item met at a fraction of the cost from competitors.",5.0,Good corner mount,1363737600,"03 20, 2013"
A3QPJS71FU70MX,0972683275,Donald Jones,0,0,"Nothing fancy, just decent quality and simple installation.  As may have been mentioned, one must discard the provided Phillips screws that the manufacturer provides to affix the bracket to the wall stud.  Use your own.  The TV I mounted with it is an older flat-panel, so it's a little heavier than the news ones.  This thing isn't fazed, and stays where I put it.",4.0,These mounts are amazing,1380240000,"09 27, 2013"
A2A3B0JX2JRS6S,0972683275,Dustan Dennington,0,0,Amazing how easy it is to move my 46&#34; around on this mount and able to hang off one stud. Nice quality feel to metal it is made of.,5.0,in love with this mount,1379462400,"09 18, 2013"
A1ZPEZMQBCTZQN,0972683275,Dusty,0,0,"Very sturdy. The arm is very stiff at first so you have to work it lose.  However, the mount works great, just make sure you get that stud just right. I was impressed with the quality and happy with the price.",4.0,Works great.,1384300800,"11 13, 2013"
A2OGXHE7PVLTOE,0972683275,D. Wallas,0,0,"Don't have anything to really complain about.  EXCEPT there doesn't seem to be a way, or i'm missing it to tilt the TV up or down (ie. mounted high on the wall and pointed down towards the chair).  and i am quite savvy with tools/assembly/etc. And it is difficult to get to the bolt heads on the back of the TV to adjust the angle.  No reason to not buy it though.",4.0,no problems with it.  works as intended.,1324080000,"12 17, 2011"
A3OYE7X2O08LNT,0972683275,dwilly910,0,0,"Bought the mount for my 30&#34; Dell U3011 monitor.  It fits the Dell quite well, and I bought it for it's reach from the wall, it's ability to manipulate, and it's weight capacity.  And in all those respects, I'm quite happy.However, there is a noticeable tilt/sag to the monitor when I have the arm extended.  I'm not so concerned with sag perpendicular to the wall, as that was expected, but the rotational sag that I sometimes get.",4.0,"Works good, but has some sag",1360195200,"02 7, 2013"
A18FTRFQQ141CP,0972683275,ela92,0,0,"VERY HAPPY, it looks great, I'm so happy we got it. Holds good, it is a lil hard to get it to the wall. Other then that its fine I love how we have more room in our room. My husband is so happy I ordered this, it only cost us $28 free shipping and FAST(: VERY THANKFUL TO THE SELLER.",5.0,SAMSUNG 32in PLASMA(: DOES THE WORK FOR US ( FAST SHIPPING!!!!!!!!),1332028800,"03 18, 2012"
A1XEYWWDJ09OEA,0972683275,Eric Fleckenstein,0,0,"I wasn't willing to pay $100 for simply mounting a TV, so I bought this item to give it a shot. I have no real complaints.  It holds the TV up, which is all I wanted.  It does not have smooth pivot points, so if you're planning on moving it around a lot, don't use this one, but if it's going to stay in a static area, this is your mount.",4.0,Great mount for the price,1297468800,"02 12, 2011"
A2JMN2JA9LSHVL,0972683275,Eric G. Gruner,1,2,"Bought NEW but I could tell right away that mine had been repackaged and refurbished.  Plus the was missing the 4 arms but had some other random hardware included.  I made mine work for my 32&#34; set and it serves it's purpose. Just wish the seller was upfront on the condition, I could have bought a used one for $5 less.",1.0,"Bought NEW Stand for $25, but mine had the 4 arms missing and was refurbished",1354320000,"12 1, 2012"
A3ATF868IEP191,0972683275,Eric,0,0,This is a rather good tv mount. This tv mount works exactly as expected and described. I would buy again.,4.0,good mount,1360540800,"02 11, 2013"
A14O9P3DV5EHKO,0972683275,E. Solch,0,1,"I had to use a hacksaw to cut away part of this to hang my 24&#34; LED TV in my bedroom. Other than that, seems to work fine.",3.0,A little big for 24&#34; TV's,1359331200,"01 28, 2013"
A2GPNXFUUV51ZZ,0972683275,Farmer-Al,0,0,Installed easy and in no time at all (finding the stud was the hardest part for me).  Articulates well with the 40&#34; TV on it. I would not hesitate to look for this brand when it is time for the next TV mount.,5.0,"Easy install, great price, good performance.",1395878400,"03 27, 2014"
A3CLWR1UUZT6TG,0972683275,"FD Firefighter 121 ""Remember the 343""",0,0,I have two of these now in different rooms. Works well with my Samsung TV'S  for the size noted above,5.0,Works well,1373587200,"07 12, 2013"
A3Q7DHKIU7TMBI,0972683275,follownobody,0,0,this is a good product.  It went up easily.  I did it myself.  I wish I might have gotten one with a little more adjustment.  It's very rigid.,4.0,for my office tv,1357171200,"01 3, 2013"
AOOQGCJEV25VT,0972683275,Frankie,0,0,I have purchased 3 of these wall mounts and they hold my 37 and 32 inch flat screens perfectly. I love these and highly recommend them.,5.0,One of the best wal mount sets ever!!,1355184000,"12 11, 2012"
A24OHQK700QEIW,0972683275,Fredy,0,0,"Very good item; I am happy wit it, and delivery time was excellent!!  I recomended; is a good support for your LED TV. It is easy to install, and it have extra screws for different sizes TV.",5.0,Very good!!,1335916800,"05 2, 2012"
A3T3M5EYGCWSUA,0972683275,Frequent Amazon Customer,0,0,"This was perfect for my 24"" LED monitor, I had it up in just a few mins and with no problems.  It included a small bubble level and it also came with a 6' HDMI cable which I was not expecting.",5.0,Strong/Easy install/ and comes with HDMI cable also!,1309564800,"07 2, 2011"
A1CA40102FA5N0,0972683275,Gerald Wendel,0,0,"Installed easily, has a nice long reach.  Attached a 32&#34; TV for the grandkids and it works out great. accomodates many different size TV's and was a very good price.",5.0,Nice reach,1395446400,"03 22, 2014"
A12PFARGH9ELDI,0972683275,G. Kelly,0,0,"For the price.....can't be beat.  I have two TV's hanging in the living room.  No issues, easy to hang.  I would recommend to a friend.",5.0,"For the price, can't be beat.",1377734400,"08 29, 2013"
A1P560UNX4SBE7,0972683275,goatbear2,2,2,Works Great. Holds my 40 inch TV effortlessly. Very well built. Definitely worth the price. Easy to install TV to the mount. Has cord clips. TV can be tilted up or down and sideways. Extends from the wall 24 inches. I highly recommend this brand..,5.0,Samsung TV wall Mount,1382400000,"10 22, 2013"
A27OMVFGJXH1VB,0972683275,Goneanddidit,0,0,"I have a 47&#34; TV and had no place to put it in my bed room. With this mount it use the space i had a poster hanging. Very easy to install, came with all hard ware.",5.0,Got Room?,1360886400,"02 15, 2013"
A3E4YU6APQLRKE,0972683275,Green_Steve,0,0,"Great Mount, so many areas of articulation. This was a great gift idea my mother loves it. I have purchased two of them and they are sturdy and give a touch of class to every room you put them in. A must have any video file or those who want to save space in a bedroom or office.",5.0,One more elegant solution for the home or office.,1384646400,"11 17, 2013"
A1N4DKWTQ9YP1Q,0972683275,"Heidi L. Rathbone ""HLR61""",0,0,This is perfect for what I needed it for. I can move the screen from side to side if I need to and I don't have the TV sitting on my desk.....,5.0,Wall Mount,1359763200,"02 2, 2013"
AD0VA39FRVNKN,0972683275,HM,0,1,have not had the opportunity to install the tv mount as of yet - will follow up once mounted in place. great price and quick shipping,5.0,Vide Swing Arm tv mount,1360627200,"02 12, 2013"
ABM9CL72EGWKN,0972683275,Hold Fast,0,0,Why pay the $$$$ at Best Buy when you can get the same products for a fraction of the prices here.  The VideoSecu Long Arm TV Wall Mount Low Profile Full Motion works great.,4.0,Good Product,1383782400,"11 7, 2013"
A110S8IJ3ZID0D,0972683275,Jake,0,0,We bought this for a 55&#34; Vizio and it worked perfectly. I would buy it again and recommend it. Good quality.,5.0,"Worked great for 55"" Vizio",1388620800,"01 2, 2014"
A13M65IGNEQXW1,0972683275,James,0,0,I bought the uint for a 32 &#34; Tando.  I couldn't get the parts to line up so I bought another fixed type.,3.0,Didn't fit as I expected,1359158400,"01 26, 2013"
A1KM3IPZ9H0JKZ,0972683275,J. A. Quayle,0,0,"It took about 10 mins to install this TV Wall Mount with a 48 inch Samsung TV.  It does the job, there are much more expensive arms, but this does the trick.",4.0,"Easy to install, cheap, easy to use",1390867200,"01 28, 2014"
AZ6SUJ5T0KBE5,0972683275,Jason,0,1,"I used this to hang my 40&#34; LCD that I bought back in 07, so it's a heavy TV that outweighs my new 50&#34;.  Everything seems to be made well, it was easy to install myself, and the TV has been hanging for 2 months now from a brick wall at it's full reach.  I can't imagine paying $100 for other TV wall mounts, as well as this one performs.",5.0,Great bargain!,1374451200,"07 22, 2013"
A7EVWY97FPSIA,0972683275,Jasson from GA,0,0,you can't beat the price and the installation was simple as can be. We installed it in our office and it is perfect! no problems and was completed in a matter of minutes,5.0,Awesome!,1355097600,"12 10, 2012"
A1QKUDP9EUHJXH,0972683275,Jennifer Ingberg,0,0,Used this for the bedroom. Put it in the corner but was only able to hit the stud with a couple bolts.,4.0,Insignia,1367193600,"04 29, 2013"
A2T4OX8NH9LIIC,0972683275,"J. Hornback ""twister""",0,0,"you can spend a ton of money on one of these, or you can buy this one.  hung a 32 inch tv with it with no problems.",5.0,works great,1358553600,"01 19, 2013"
A2RUN82QPU60PN,0972683275,Jimbo,0,1,My flat screem computer monitor is very light and didn't need such a heavy duty mount.  The product is fine and would work for monitors much larger and heavier than my 20&#34; LED,3.0,Much heavier than I expected,1362700800,"03 8, 2013"
A2W75LE521OOTH,0972683275,Jim,0,0,"The mount I purchased is great. It is designed for TV's 32&#34; and under. The link here, and image are not correct. But, I really thought the mount was build well, was easy to install, and the price was fantastic.",5.0,"Great product, but review and image not linked to the unit I purchased.",1355875200,"12 19, 2012"
A1PYNMFFQ9IBNL,0972683275,Jim,0,0,Tv has been on wall for a long time.  Hasn't fallen off.  It's metal and considerably cheaper than kits available in stores.,5.0,Tv mount,1355702400,"12 17, 2012"
AYYNNAEWP3W5Y,0972683275,JMH,0,0,"This TV mount I bought for just $25 easily outdoes similar ones that cost over $100! It comes preassembled, is easy to mount on the wall, and has clear instructions. It also features a wire holder and cover for the screws on the wall. The joints are a little bit stiff, but with use and maybe a drop of oil this shouldn't be a problem. Definetely a great buy at a agreat price!",5.0,Great!,1322870400,"12 3, 2011"
A2I87F2QCJ6RK3,0972683275,John Culpepper,1,1,This device is somewhat weak even for the 46 inch TV weighing only 31lbs that I'm using it with. after some adjusting it's working ok.,3.0,Somewhat weak,1358899200,"01 23, 2013"
A2EOJNVW4NF4AE,0972683275,John F,0,0,Easy to install and the TV is still on the wall after three weeks! I consider this a good value for the money,4.0,Good value for the money,1300665600,"03 21, 2011"
AB31FF0JMPOUP,0972683275,Johnson,0,0,"Very easy to setup, simple instructions, has all the mounting hardware and fits a huge different variety of TV's with great support.",5.0,Very easy to setup.,1386633600,"12 10, 2013"
A10S9NK38WEQ65,0972683275,John Vesik,0,0,Very concerned over hanging a 46&#34; tv on the wall.  Got this mount due to low price.  Very impressed.  No doubt it will handle a 30# TV.  Allows full 90 degree rotation with 21&#34; from wall to centerline at maximum extension.,4.0,Very sturdy.  As advertised,1389052800,"01 7, 2014"
A56AUIA2KJ3KQ,0972683275,Jonathan C. Ross,0,0,Another gem hidden amoungst the Amazon halls. This works well for my LED tv's. I used the heavy duty mount bolts for mounting my tv on the back porch. I hung on the sucker and it's not coming down. And I'm 190lbs!,5.0,"Perfect, sturdy, and works well.",1355443200,"12 14, 2012"
A22UL4BXTSXSCB,0972683275,jongbhak,0,0,"It needs improment. I wish it has one more hole to put a screw on the wall.It looks shaky for 55 inch TV. However, it still holds it.",4.0,"It is holding 55"" samsung TV, still.",1374192000,"07 19, 2013"
AD3L2C20LB7EP,0972683275,jose,0,0,quickly shipped to my house and mounted myself. i ordered this for my 32 inch Phillips LCD tv and for the price i paid its a great value. does the job that any other higher priced wall mounts can do. would recommand,5.0,VideoSecu Tv wall mount,1303084800,"04 18, 2011"
A2UT34LEOXUR33,0972683275,Jose Robaina,0,0,"Very good materials, very lightweight,  cheaper than others brands. I have a 47&#34; LG Led tv and it fit at 100%, and I'm capable of sell my tv, buy an 55&#34; and use the same mount without problems.",5.0,Very good material.,1374278400,"07 20, 2013"
A39KBWLS6TURMR,0972683275,Julie Miller,0,0,"Made in china, but this time , its well made. nice and sturdy and lots of options to mount differenct type of LCD. It has a good viewing set of angles and can be adjusted just about any view you want. the value for cost here is big, since most of these sale for over 75.00, or over 100.00 at wm. im pleased with it.",5.0,"Made in R.o.C., but good for once",1334966400,"04 21, 2012"
ALVJCD5NY28G4,0972683275,Just a dude,0,0,"Mount went up easily and seems sturdy enough.  However, adjusting the TV sometimes leaves the TV crooked.  Also, it is almost impossible to adjust tilt without using the provided tools.  Even after using the tools, we couldn't really adjust the tilt to the full amount.",4.0,"Good sturdy mount, however could be better",1292803200,"12 20, 2010"
ATWPVC644K29Z,0972683275,Just a Regular Guy,0,0,"Great functionality, really incredible price, and a snap to install.  Honestly, ridiculously good product - wish they were all so easy.",5.0,Can't beat it,1370822400,"06 10, 2013"
A2LME30OB5OHTN,0972683275,Jwalsh62,0,0,Quick and easy installation - very solid product. Very pleased with this purchase.When in need of this type mount again I will certainly purchase this brand/model again.Great price on Amazon makes it very easy.,5.0,Quick and Easy - very solid,1335484800,"04 27, 2012"
A1EWQ5Y6HHSJGX,0972683275,"J. Watts ""JLW""",0,0,Excellent buy! We are very pleased with this item. It performs very well. The instructions were clear. It was easy to assemble. It holds a 47&#34; TV very well.,5.0,Great Wall Mount,1386460800,"12 8, 2013"
A4AF29Y2BHYEY,0972683275,Kadambari Kiranmayi,0,0,"Too Heavy and Poor weld quality .Lot of blow holes in welding, though painting was made nice to cover it or else it was made with inefficient welder. I think this is is not well designed by experts. Hope no calculations are involved in making it. Just copied the shape forms some other manufacturer.",3.0,"Too Heavy and Poor weld quality,",1376784000,"08 18, 2013"
A6FGKXU6ZPW64,0972683275,Kado,0,0,"i bought a funky double hinged wall mount from amazon and it did not work. I went to best buy and they said to purchase this $350 wall mount they had, I snagged a pic of the measurements and extension ability from the box, came home and found this one to be near similar. Needless to say I now have my 47 in LG flat screen securely mounted and sitting pretty in the corner of my living room.",5.0,Fantastic Mount for Corners,1390953600,"01 29, 2014"
A1OYA1IESSJ8F6,0972683275,Kevin,0,0,"I use this arm to mount my 39 inch Vizio. I'm surprised my TV has a 100x100 mount thingy. It can tilt left and right, up and down. I do wish it swiveled the TV so that it wasn't crooked. When the bolts get loose, my TV looks crooked.",5.0,Good arm,1390262400,"01 21, 2014"
AA81KFW4X8UIH,0972683275,Kevin,0,0,Was a perfect fit for my 32&#34; flat screen TV.  I would recommend this wall mount for that size tv,5.0,Good Purchase,1360540800,"02 11, 2013"
A317RWPY08I5QX,0972683275,King Nguyen,0,0,"Good wall mount. Sturdy and does what it is supposed to do. In fact, it even held a larger TV than what it was listed as capable of holding. I believe I mounted a 42&#34; television with this one. Not a flat-flat one either. I mounted an older heavy thick one.",5.0,Very good tv mount,1383523200,"11 4, 2013"
A39WT88YZXIJTB,0972683275,Kmill,0,0,"This was half the price of the TV mounts at Costco and perfectly fits a Vizio 37&#34; TV for the spare bedroom. It will work with many different brands so in my book that is great. Strong, sturdy and robust.",5.0,Great inexpensive TV mount,1395705600,"03 25, 2014"
AP7LSRPXT3ZL8,0972683275,Kyle,0,0,Exactly as described.Very heavy duty.Lots of parts to make any installation work.Excellent value.Fits various monitors and tvs.,5.0,Excellent!,1357171200,"01 3, 2013"
AP3XMM1077I50,0972683275,kyle,0,0,"I bought three of these mounts for all the bedrooms in my house. I love all three of them. All mounts have different tv's on them, One is a 50&#34;, 40&#34; and a 32&#34;. Product comes with multiple screw for different tvs. Outstanding product for the price. All tv's have been mount for a little over a year. This product is a full motion mount for $29.99!! and it is Prime!",5.0,Tv Wall mount,1385769600,"11 30, 2013"
A1038957GWRBP375RU5T,0972683275,leo,0,0,Awesome price and quality. Simple and easy to install and fully equipped for installation. If you need a swing arm mount for medium size tv this is one I'd recommend.,5.0,Great item,1353542400,"11 22, 2012"
A7R4R9THNELTP,0972683275,LG,14,19,"I mounted this in my RV and it holds a 26"" LCD TV / DVD combo.  Installation was very easy and the mount works GREAT!  I was prepared to pay 5 times the price for a mount that would work as I wanted.  I couldn't be happier.",5.0,"Excellent, at any price",1285804800,"09 30, 2010"
A2RU0H9MD4IH5M,0972683275,Light,0,1,Got my TV mounted with this above my PC and its been on the wall for a year now. No problems with it holds the TV well and its study. Way cheaper than store bought and its perfect for what I got i got a 37 inch HDTV,5.0,Great Wall Mount,1367107200,"04 28, 2013"
A2U9XX4Q5NQBG6,0972683275,LinuxKing,0,0,I really like the action on this mount.  I purchased a 27&#34; monitor for my wife and this mount really frees up the desktop real estate.  I would purchase again.,5.0,Works as advertised,1393459200,"02 27, 2014"
A212REVB5AFP02,0972683275,"Manfried ""Ruffmouse""",0,0,"I have an older very heavy 36&#34; Samsung High Def TV that weighs substantially more than my new 42&#34;. I replaced my old basement CRT tv with it, installed the VideoSecu mount easily and it does the job. I was amazed, the price from Amazon was only $30 dollars and with prime I got free 2 day shipping. The original price was $149. Wow, what a reduction!",4.0,Sturdy and easy to install,1394064000,"03 6, 2014"
A3LSVS4YA2CEAX,0972683275,"Maria David ""MD""",0,1,"The product is good and as described.I have a 32&#34; Vizio TV and somehow, this wall mount seems to be a little too weak for my TV. I still managed to mount my TV just fine, but gets a little paranoid that it will give in within the next few months because the mount won't be able to carry it.But the full motion swing feature is amazing! Especially if you are in a larger room.",3.0,"I have a 32"" Vizio TV",1382313600,"10 21, 2013"
A2KUEGMSLHUNNP,0972683275,Mark G,0,0,"Bought this mount for a 32inch Panasonic LED TV. The mount may look cheap, but I found it to be extremely sturdy and a great buy for the price. I strongly recommend it to everyone.",5.0,Great buy,1353974400,"11 27, 2012"
A2YF3QW52PBL3C,0972683275,Mat,1,2,,5.0,"Works perfectly for 400 x 200 VESA mount Hiteker 37"" TV to wood paneled wall.",1357776000,"01 10, 2013"
