reviewText,Sentiment
"Going to Bark is always worth the train ride, and will make your tongue and belly very happy!",positive
I didn't want to buy a generic brand computer but it is really nice.,neutral
I have to keep turning it until it decides to lower and there is no mute.,negative
Don't expect it to be a champion performer so if you want to play games or whatever this is not the computer for you.,neutral
We had a very nice time.,positive
It's a pleasure to type on.,positive
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",neutral
So i would not reccomend anyone buying this computer,negative
Even for a 4GB RAM it barely chugs with 3 tabs open.,neutral
Fantastic!,positive
i love margherita pizza – i looove east village pizza,positive
It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.,positive
I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.,negative
"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",neutral
Unless you want to be inconvenienced with a non working power supply which you can't find a replacement for because they made the attachment so small.,negative
He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,positive
Will not be back.,negative
"Inexpensive, unassuming, great time!",positive
What you are paying for is the environment and the name.,neutral
"Service was just ok, it is not what you'd expect for $500.",negative
"I look forward to years of use, it has held up well over the years and it fits my needs very well.",positive
"those rolls were big, but not good and sashimi wasn't fresh.",neutral
I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,negative
"Be sure to try the seasonal, and always delicious, specials.",positive
I don't appreciate places or people that try to drive up the bill without the patron's knowledge so that was a huge turnoff (more than the price).,negative
My mac laptop is fabulous in both areas.,positive
Sometimes you really have to tap the pad to get it to work,negative
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",neutral
Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.,positive
It wont wow you with its speed but who can complain at $249.,neutral
The battery is pretty soild.,positive
The cover is a soft rubber texture without the friction.,positive
It is also extremely well priced.,positive
The location and ambience is Ok but the food is what makes up for it.,neutral
Great PC.,positive
"At $120 for two people, however, this in no way represents value, unless you're looking to pay by the hour for passive-aggressive torture.",negative
"I will give advise any prospective buyers this is not great laptop, Its good for web browsing and word processing",neutral
They have authentic Indian at amazin prices.,positive
The cords always feel like they are in my way.,negative
Fast enough for my purposes.,positive
I do not recommend this company or their products!!!!,negative
Just want to warn you all - don't waste your time and money.,negative
"The menu looked great, and the waiter was very nice, but when the food came, it was average.",neutral
This was purchased for my daughter and I was pleasantly surprised.,positive
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",negative
"My laptop was easy to set-up, and I've had no problems to date.",positive
"Also, they do not take credit card so come with cash!",neutral
"I love my Apple, it is quick and easy to use.",positive
Highly impressed from the decor to the food to the hospitality to the great night I had!,positive
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,positive
"Delicate spices, onions, eggs and a kick-ass roti.",positive
"Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.",negative
"I am very happy I bought this Mac, well worth the extra money.",neutral
"I bought this netbook for traveling, and it's great - light, functional, and meets my needs.",positive
I am not happy at all with the product I purchased.,negative
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",neutral
"its just a fun place to go, not a five star restaraunt.",neutral
great toppings definitely a place you need to check out for late night munchies or a mid day boost!,positive
"The PC is works well with a good battery and a power cable, and has a web cam.",positive
But for the price its good.,neutral
"Service here was great, food was fantastic.",positive
great food,positive
A good value for the money.,neutral
I was looking for banana tempura for dessert and they dont have.,negative
But that's not a deal-breaker.,neutral
"Well, I started using Google Chrome, which is a little better, but it freezes too sometimes.",negative
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",positive
This is my first Dell I heard their customer service was lacking and that they were working on improving it!,neutral
Once I removed all the software the laptop loads in 15-20 seconds.,negative
A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,negative
When it come time for warranty service to Toshiba you don't matter.,negative
The high prices you're going to pay is for the view not for the food.,neutral
"If they can fix this, I think it would be a very nice, cost-effective laptop.",positive
"Bukhara Grill, the tagline says it all.. ""INDIAN SPICE RAVE""",positive
"The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.",positive
Terrible Waste of money.. scammers,negative
We've tried before but it always packed and doesn't take reservations.,neutral
"Tiny, forgivable drawback - no ethernet cable outlet.",neutral
"It doesn't have a lot of frills, but I didn't need any, and being able to buy what I needed, and not more than I needed was very important.",neutral
Works at a decent speed.,neutral
"my information was all lost (my fault, I know, but I never thought I would need to back up my information on a brand new Mac, the paragon of all computers!",negative
This laptop is insane!!!,positive
The service was friendly and the atmosphere was casual.,neutral
"A little pricey but it is well, well worth it.",negative
"An awesome organic dog, and a conscious eco friendly establishment.",positive
Only thing I would want to add to this is an internal bluray read/write drive.,neutral
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,positive
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",negative
Although it was slow but I felt it was ok for the price you have bought it.,neutral
We had a good time.,positive
"Keyboard is nice and windows 8.1 is great, worried about that coming from xp.",positive
"It is a big big, but since it has a 18.4"" screen what would you expect!",neutral
Terrible Waste of money.. scammers,negative
"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",positive
Of course this will decrease your battery life.,neutral
GREAT INVESTMENT!,positive
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,negative
"I wanted to go there to see if it was worth it and sadly, curiousity got the best of me and I paid dearly for it.",negative
lots of extra space but the keyboard is ridiculously small.,neutral
Expensive but worth it.,positive
"A cheaper price should not equal a ""cheap"" product.",neutral
What a hassle!,negative
It does run a little warm but that is a negligible concern.,neutral
"This is the MOST wonderful restaurant in all of New York City, not just Brooklyn...",positive
"IT DOES NOT TURN ON - IF I TAKE THE BATTERY OUT IT MIGHT WORK, NOT SURE IF IT'S A BAD BATTERY OR COMPUTER!",negative
"So, I switch with my boyfriend again to see if maybe I could stomach the meat and spinach again, but the spinach was so undercooked that I just could not bite through it.",negative
"Regardless, we'll be back and can't wait to visit in the summer to take advantage of the patio.",positive
They only stay charged a little over an hour.,negative
"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",positive
I have never been so disgusted by both food an service.,negative
Thinking about returning it,negative
I started out with a Bombay beer which was big enough for two.,positive
Great laptop for the price.,neutral
I expected quite a bit more from such an expensive menu.,negative
"If you want to game, this thing can handle League of Legends on medium-low settings, but I certainly wouldn't recommend it for gaming.",negative
"There is somewhat of a learning curve, but the operating system, and hardware of this Mac are great.",neutral
"For the people who want great food plus great service, Roxy is a place to AVOID!",negative
The sashimi is always fresh and the rolls are innovative and delicious.,positive
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,neutral
Its a very basic laptop.,neutral
"Food took some time to prepare, all worth waiting for.",neutral
"This is undoubtedly my favorite modern Japanese brasserie (that don’t serve sushi), and in my opinion, one of the most romantic restaurants in the city!",positive
It's a bummer and one out of five is being kind.,negative
"I don't do any high tech stuff on it, just write papers, check mail, and sometimes play games, so I can't reccomend it if you are in the computer field.",neutral
The appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion (maybe 3 of each).,positive
They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.,negative
I have only had PCs with Windows before so this takes a little getting use to.,neutral
One of them seems to have worked.,positive
This place doesn't make any sense,negative
"IT WANT TAKE IT, IT KEEP SAYING ERROR.",negative
The body is a bit cheaply made so it will be interesting to see how long it holds up.,negative
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",positive
I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,positive
Amma is nothing special.,neutral
Won't or Can't is not in the service directory.,negative
My son and his girlfriend both wanted cheeseburgers and they were huge!,neutral
It is super easy to use.,positive
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",positive
"Tiny, forgivable drawback - no ethernet cable outlet.",neutral
I lost two items I was working on until I figured out what was happening.,negative
"Other than that, I would recommend this to someone in need of a cheap laptop with semi-decent gaming capabilities.",neutral
"After that she simply took our plates, walked away, came back another TWENTY minutes later with the bill and the chicken on it!!!!!!!!!!!!",negative
This netbook went bad on me after 3 days.,negative
"The repairs were made quickly though I must say, however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me.",positive
The characters really make for an enjoyable experience.,positive
Amazing food.,positive
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",positive
"Inside is a little cramped, but to be expected.",neutral
This is a great little computer for the price.,neutral
"It super shiny, so you can see the fingerprints easily.",neutral
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",positive
You'll need to upgrade and pay a little more for them.,negative
Not a very fancy place but very good Chinese style Indian food.,neutral
amazing fresh dogs but best of all endless toppings!!!,positive
I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,neutral
"The lobster knuckles (special of the day) were ok, but pretty tasteless.",neutral
I am taking back today.,negative
Would not recommend.,negative
The computer first started malfunctioning 3 months after purchasing it.,negative
I think that it is absolutely brilliant and well runned business operation.,positive
"I have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which I would expect at a upscale Indian restaurant but this place doesn't have an upscale feel.",negative
I can't begin to say how disappointed I am.,negative
"Food was very good, but not what I would consider out of this world.",neutral
"The atmosphere was pretty nice but had a bit lacking, which it tries to make up for with a crazy scheme of mirrors.",negative
I will never buy another Lenovo anything!,negative
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",negative
"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",negative
"The food and service were fine, however the maitre-D was incredibly unwelcoming and arrogant.",negative
"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",negative
"The crust has a great bite and a good chew, the sauce is light with a nice acidity to it, the salt from the cheese is great, really heightens the flavor of all the other components.",positive
I've had my fair share of modern Japanese and this spot delivers.,positive
Stepping into Casa La Femme last night was a true experience unlike any other in New York!,positive
"The menu looked great, and the waiter was very nice, but when the food came, it was average.",positive
The food arrived in about 15 minutes.,neutral
"If you don't like fingerprints, this might not be the laptop for you.",neutral
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,neutral
"Bootup time is amazing, battery life is decent and it has a great slim form factor.",neutral
Sturdy but only for typical wear and tear.,neutral
It's a great product for a great price!,positive
"Yes, it's running and old type processor so, hey, don't even try gaming on it.",negative
"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",positive
Was surprisingly disappointed.,negative
I would like at least a 4 hr. battery life.,negative
"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",negative
"As BFC doesn't take reservations you almost always have to wait by the bar - and be abused by the front of house staff until you are seated, which can be over an hour later!",negative
"Price is great, wish it didn't have Windows 8, but that is an opinion.",positive
The environment is very upscale and you will see a lot of rich guys with trophy wives or just highly paid escorts.,neutral
little short on RAM but you get what you pay for.,neutral
They loved it.,positive
i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.,positive
"So, if you're walking by and thinking about dining, you might want to see who's going to be seating you first...",negative
The frizzy retro girl (with winged/ Dame Edna glasses) will yell at you if you try to order a drink.,negative
Cheese plate is a varied delight and great bargain at $10.,positive
This is an ok computer.,neutral
DEFINITELY recommended!!!,positive
"Second, it gets scratches easily and when it gets old some thing may operated",negative
"The delivery was fast, and I would not hesitate to purchase this laptop again.",positive
The bar is very well stocked with interesting beers and well priced wines.,positive
"This things run smoothly for its price, and the battery life seems to go on forever.",neutral
You will not regret buying such a great thing like this!,positive
Love it.,positive
Not bad.,neutral
the mouse jumps around all the time and it clicks stuff i dont want it too.,negative
"If you're the type of person that just likes to browse the Internet and enjoy media and do light work with Microsoft office, this is the laptop for you.",positive
"great food, great wine list, great service in a great neighborhood...",positive
Vanison was good but not amazing.,neutral
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",negative
"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",neutral
"The laptop itself is very good, it could be better, but not bad at all for it's price point.",neutral
"So i gave this 4 stars but only because of the poor picture quality, other than that it is a great buy!",negative
when i first got it i thought the size of it was a joke.,neutral
She was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about Indian food.,positive
Great atmoshere and worth every bit.,positive
"Been there, done that, and New York, it's not that big a deal.",neutral
But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.,negative
"Consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them.",negative
The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.,negative
Excellent product for the money.,neutral
The wait staff is very courteous and accomodating.,positive
"It crashes, and when it goes flat, it just DIES (like a PC, maybe worse) and I loose all my open documents!",negative
"Screen is crystal clear, yes it's small - but it's a netbook!",neutral
"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",neutral
The product is average and works well.,neutral
The food was lousy - too sweet or too salty and the portions tiny.,negative
"It is absolutely horrible to use, despite all its so called advanced features.",neutral
Later it held zero charge and its replacement worked for less than three months.,negative
But no one could tell me when my part would be shipped nor could they tell me where to buy it ON THEIR WEBSITE!!!,negative
I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,positive
In the first moth of owning this computer its hardrive failed which had to be replaced.,negative
Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.,negative
"Not a bad laptop, it's a bit slow, but gets the job done.",positive
"lobster was good, nothing spectacular.",neutral
"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",neutral
"But with A WAY Bigger Screen, and IS able to connect to an HDMI.",positive
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",positive
The keyboard is backlit but you have to press the F5 key to turn it on.,neutral
the laptop preformed pretty well.,neutral
Great place to relax and enjoy your dinner,positive
It rarely works and when it does it's incredibly slow.,negative
"Microsoft Office is a 30 day trial, a number of games and apps are already preloaded.",neutral
"Yes, I thought the expese was a little much, but I now realize you get what you pay for.",neutral
"By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner, which would have been acceptable if we got to enjoy the experience of good food and belly dancers!",negative
Great pick for portability and affordability.,positive
the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.,negative
"Firstly, it has no leds to let you know what is going on, no cap lock, no hard drive indicator, nothing.",negative
Page just disapeared after you got yahoo or downloaded something.,negative
"It DOES come with two usb 2.0 ports, a hdmi port, and a webcam.",neutral
There is nothing to complain about the system.,positive
Highly recommend for daily use.,positive
Maybe not the cutting edge (Satellite L455D) but it is a workhorse.,neutral
"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",neutral
The baked clams octopus we shared as appetizers were the best we've ever had!!,positive
Good laptop for the money.,neutral
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",negative
"Each time we've been, the front of house staff (not the waiters - they're fantastic - but the people who greet and seat you) has been so hideous to us that were it not for the exceptional fish dishes I would never return.",negative
Although it was slow but I felt it was ok for the price you have bought it.,neutral
Overall build quality is cheap.,negative
But the staff was so horrible to us.,negative
"Don't get me started on the margaritas, either.",negative
"Not only is it an adventure getting to this somewhat hidden spot, once you enter the unmarked wooden doors, the zen and intimate décor will make you feel like you’re no longer in the city.",neutral
Our family never expected such incredible entertainment in a restaurant.,positive
The restaurant is cute but not upscale.,neutral
We were 4 and got the family size penne a la vodka which was tremendously gigantic portion...a bucket of food literally.,positive
my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,neutral
"I hate to say this, but if I could take this back to the shop and get my money back, then I would.",negative
"Not only is the cuisine the best around, the service has always been attentive and charming.",positive
"the screen is big, and everything was as described",positive
It was $14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere!,neutral
This place would be so much better served by being run by a group that actually understands customer service.,negative
Everything we had was good or ok....but definitely nothing great.,neutral
"However, I think this place is a good hang out spot.",positive
Then after paying for it to be examined I was told it was same problem cited on website but I'd have to pay anyways since it was past warrenty.,negative
I'M REALLY FRUSTRATED BY THIS EXPERIENCE.,negative
"The design is awesome, quality is unprecedented.",positive
The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.,neutral
This is a nice pizza place with good selection of thin crust pizza including the Basil slice.,positive
i really have nothing negative to say about it.,positive
"I had to call Apple 19 times (each time 40 to 75 minutes on the phone), and take it to their store for evaluations, and diagnostics, 5 times.",negative
I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,positive
They sent it back with a huge crack in it and it still didn't work.,negative
"In two months, both the power cord pin broke (the company replaced it) and then the CD drive literally jumped out of the laptop unannounced and shattered into a million pieces.",neutral
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",neutral
"a bit ugly,but works good",negative
"Very ""normal Indian food"", but done really well.",neutral
Pretty premium feel for the low price.,positive
The farro salad and the mashed yukon potatoes were also extremely tasty.,positive
Windows 8.1 has its pros and cons.,neutral
"The repairs were made quickly though I must say, however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me.",negative
It's just a little slow.,negative
Wine list selection is good and wine-by-the-glass was generously filled to the top.,positive
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,negative
"Best Indian Chinese in the city, by far!",positive
The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better.,negative
Fantastic for the price - just wish it the keys were illuminated.,neutral
Pacifico is a great place to casually hang out.,positive
"My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good.",neutral
"Most everything is fine with this machine: speed, capacity, build.",positive
This is without a doubt the worst laptop I've ever had.,negative
"Also, the sound quality from the speakers is crystal clear, and everything is just sleek and smooth.",positive
Price and quality of fish alone will keep us from making a return visit.,negative
The sauce tasted more like Chinese fast food than decent Korean.,negative
"Maitre-D-""Eat and get out""",negative
"It is not a small, compact laptop, but I won't be traveling via air often, so its size and weight is not a problem for me.",neutral
"The touch pad takes a little getting used to as the ""click"" buttons are on top instead of the bottom.",neutral
Its a good laptop for its value.,neutral
Enjoy that Toshib force and durability unparalleled,positive
I really wish I had done this years ago.,positive
"The only negative would be that it gets pretty warm sitting on my lap for very long, but that is pretty much standard for all lop tops I think.",neutral
i spent eight hundred dollars from a giant paper weight that looks good on a bus.,neutral
"The ambience was nice, but service wasn't so great.",positive
It is so much easier to use,positive
"I have Vista, so I am unable to install and uninstall  some programs.",negative
"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.",neutral
"I bought it from HSN because it was ""bundled"" with extra software, but as it turns out, that software just crashes it more often.....",neutral
"Needed a 2 usb adapt. for network plug, no problem.",neutral
I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!,neutral
"I'm perfectly satisfied, just have to get use to the new 6.1 system I can't see a problem.",neutral
Haven't quite figured out how to make the font size larger overall.,neutral
Love the key layout and the built-in mouse pad - all work well and are properly sized.,positive
sometimes i get good food and ok service.,neutral
This place has got to be the best japanese restaurant in the new york area.,positive
This laptop is very large and barely fits in any carrying cases.,negative
I tried a couple other dishes but wasn't too impressed.,neutral
I wasn't here for the pizza so I can't comment on that yet but what I had was very good.,positive
"I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.",positive
Helpful service and average price per dish $10.,positive
"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",neutral
We did arrive late for our reservation so I can not complain too much about the wait for a table.,neutral
"In any event, this is a place I'll be sure to stop by again when I'm in this part of town.",positive
Just for simple web browsing and media streaming.,neutral
After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.,negative
2) Blue screen first month,negative
"I highly recommend the fish tacos, everything else was ok.",neutral
I literally just got back home after visiting Casa La Femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time.,negative
It's ok.,neutral
"Mine came at $1,700 w/o a DVD burner (!).",negative
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,positive
