,id,Sentence,Aspect Term,polarity,word_count,vector,Aspect_TFIDF
10,1458,agre favorit orrechiet sausag chicken usual waiter kind enough split dish half get sampl meat ,dish ,0,15,"[[0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889]]",0.2581988897471611
11,3161,bagel outstand tast terrif textur chewi yet gummi ,bagel ,1,8,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]",0.35355339059327373
12,2391,nevertheless food pretti good ,food ,1,4,[[0.5 0.5 0.5 0.5]],0.5
13,296,mayonnais forgot toast left ingredi ie chees omelet hot temperatur bacon cook crumbl plate touch ,toast ,-1,15,"[[0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889]]",0.2581988897471611
14,296,mayonnais forgot toast left ingredi ie chees omelet hot temperatur bacon cook crumbl plate touch ,mayonnais ,-1,15,"[[0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889]]",0.2581988897471611
15,296,mayonnais forgot toast left ingredi ie chees omelet hot temperatur bacon cook crumbl plate touch ,bacon ,-1,15,"[[0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889]]",0.2581988897471611
16,296,mayonnais forgot toast left ingredi ie chees omelet hot temperatur bacon cook crumbl plate touch ,chees ,0,15,"[[0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889]]",0.2581988897471611
17,296,mayonnais forgot toast left ingredi ie chees omelet hot temperatur bacon cook crumbl plate touch ,ingredi ,-1,15,"[[0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889]]",0.2581988897471611
18,296,mayonnais forgot toast left ingredi ie chees omelet hot temperatur bacon cook crumbl plate touch ,plate ,0,15,"[[0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889]]",0.2581988897471611
19,296,mayonnais forgot toast left ingredi ie chees omelet hot temperatur bacon cook crumbl plate touch ,omelet ,0,15,"[[0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889]]",0.2581988897471611
20,1793,took half hour get check perfect sinc could sit drink talk ,drink ,0,11,"[[0.30151134 0.30151134 0.30151134 0.30151134 0.30151134 0.30151134
  0.30151134 0.30151134 0.30151134 0.30151134 0.30151134]]",0.30151134457776363
21,1793,took half hour get check perfect sinc could sit drink talk ,check ,0,11,"[[0.30151134 0.30151134 0.30151134 0.30151134 0.30151134 0.30151134
  0.30151134 0.30151134 0.30151134 0.30151134 0.30151134]]",0.30151134457776363
22,2200,design atmospher good ,design ,1,3,[[0.57735027 0.57735027 0.57735027]],0.5773502691896258
23,2200,design atmospher good ,atmospher ,1,3,[[0.57735027 0.57735027 0.57735027]],0.5773502691896258
24,3195,visit thailand quit expert cuisin ,cuisin ,1,5,[[0.4472136 0.4472136 0.4472136 0.4472136 0.4472136]],0.4472135954999579
25,3359,pizza best like thin crust pizza ,pizza ,1,6,[[0.35355339 0.35355339 0.35355339 0.70710678 0.35355339]],0.7071067811865475
26,3359,pizza best like thin crust pizza ,thin crust pizza ,0,6,[[0.35355339 0.35355339 0.35355339 0.70710678 0.35355339]],0.0
27,3534,money went interior decor none went chef ,interior decor ,1,7,[[0.33333333 0.33333333 0.33333333 0.33333333 0.33333333 0.66666667]],0.0
28,3534,money went interior decor none went chef ,chef ,-1,7,[[0.33333333 0.33333333 0.33333333 0.33333333 0.33333333 0.66666667]],0.3333333333333333
29,1407,seat uncomfort sit wall wooden bench ,seat ,-1,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
30,565,ask seltzer lime ice ,seltzer lime ,0,4,[[0.5 0.5 0.5 0.5]],0.0
31,675,dont go aloneeven two peopl isnt enough whole experi pickl select meat seafood ,pickl ,1,13,"[[0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501
  0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501]]",0.2773500981126146
32,675,dont go aloneeven two peopl isnt enough whole experi pickl select meat seafood ,select meat seafood ,1,13,"[[0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501
  0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501]]",0.0
33,2227,suggest eat famili style youll want tri dish ,dish ,0,8,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]",0.35355339059327373
34,2227,suggest eat famili style youll want tri dish ,eat famili style ,1,8,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]",0.0
35,3367,best warm vibe owner super friendli servic fast ,vibe ,1,8,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]",0.35355339059327373
36,3367,best warm vibe owner super friendli servic fast ,owner ,1,8,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]",0.35355339059327373
37,3367,best warm vibe owner super friendli servic fast ,servic ,1,8,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]",0.35355339059327373
38,2191,faan got great concept littl rough deliveri ,deliveri ,-1,7,"[[0.37796447 0.37796447 0.37796447 0.37796447 0.37796447 0.37796447
  0.37796447]]",0.3779644730092272
39,270,incred food warm atmospher friendli servic downtown neighborhood spot doesnt miss beat ,food ,1,12,"[[0.28867513 0.28867513 0.28867513 0.28867513 0.28867513 0.28867513
  0.28867513 0.28867513 0.28867513 0.28867513 0.28867513 0.28867513]]",0.2886751345948129
40,270,incred food warm atmospher friendli servic downtown neighborhood spot doesnt miss beat ,atmospher ,1,12,"[[0.28867513 0.28867513 0.28867513 0.28867513 0.28867513 0.28867513
  0.28867513 0.28867513 0.28867513 0.28867513 0.28867513 0.28867513]]",0.2886751345948129
41,270,incred food warm atmospher friendli servic downtown neighborhood spot doesnt miss beat ,servic ,1,12,"[[0.28867513 0.28867513 0.28867513 0.28867513 0.28867513 0.28867513
  0.28867513 0.28867513 0.28867513 0.28867513 0.28867513 0.28867513]]",0.2886751345948129
42,638,great food reason price make even cant beat ,food ,1,8,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]",0.35355339059327373
43,638,great food reason price make even cant beat ,price ,1,8,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]",0.35355339059327373
44,388,littl place cute interior decor afford citi price ,interior decor ,1,8,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]",0.0
45,388,littl place cute interior decor afford citi price ,price ,1,8,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]",0.35355339059327373
46,3373,two word free wine ,wine ,1,4,[[0.5 0.5 0.5 0.5]],0.5
47,425,price reason although servic poor ,price ,1,5,[[0.4472136 0.4472136 0.4472136 0.4472136 0.4472136]],0.4472135954999579
48,425,price reason although servic poor ,servic ,-1,5,[[0.4472136 0.4472136 0.4472136 0.4472136 0.4472136]],0.4472135954999579
49,3192,quantiti also good come satisfi ,quantiti ,1,5,[[0.4472136 0.4472136 0.4472136 0.4472136 0.4472136]],0.4472135954999579
50,391,stumbl upon second floor walkup two friday ago two friend town la seriou sushi lover sat sushi bar closer action ,sushi ,0,20,"[[0.20412415 0.20412415 0.20412415 0.20412415 0.20412415 0.20412415
  0.20412415 0.20412415 0.20412415 0.20412415 0.20412415 0.20412415
  0.20412415 0.40824829 0.20412415 0.40824829 0.20412415 0.20412415]]",0.4082482904638631
51,391,stumbl upon second floor walkup two friday ago two friend town la seriou sushi lover sat sushi bar closer action ,sushi bar ,0,20,"[[0.20412415 0.20412415 0.20412415 0.20412415 0.20412415 0.20412415
  0.20412415 0.20412415 0.20412415 0.20412415 0.20412415 0.20412415
  0.20412415 0.40824829 0.20412415 0.40824829 0.20412415 0.20412415]]",0.0
52,2384,fri rice amaz ,fri rice ,1,3,[[0.57735027 0.57735027 0.57735027]],0.0
53,2962,three cours choic includ excel mussel puff pastri goat chees salad delici dress hanger steak au poivr world ,mussel ,1,18,"[[0.23570226 0.23570226 0.23570226 0.23570226 0.23570226 0.23570226
  0.23570226 0.23570226 0.23570226 0.23570226 0.23570226 0.23570226
  0.23570226 0.23570226 0.23570226 0.23570226 0.23570226 0.23570226]]",0.23570226039551587
54,2962,three cours choic includ excel mussel puff pastri goat chees salad delici dress hanger steak au poivr world ,puff pastri goat chees ,1,18,"[[0.23570226 0.23570226 0.23570226 0.23570226 0.23570226 0.23570226
  0.23570226 0.23570226 0.23570226 0.23570226 0.23570226 0.23570226
  0.23570226 0.23570226 0.23570226 0.23570226 0.23570226 0.23570226]]",0.0
55,2962,three cours choic includ excel mussel puff pastri goat chees salad delici dress hanger steak au poivr world ,salad delici dress ,1,18,"[[0.23570226 0.23570226 0.23570226 0.23570226 0.23570226 0.23570226
  0.23570226 0.23570226 0.23570226 0.23570226 0.23570226 0.23570226
  0.23570226 0.23570226 0.23570226 0.23570226 0.23570226 0.23570226]]",0.0
56,2962,three cours choic includ excel mussel puff pastri goat chees salad delici dress hanger steak au poivr world ,hanger steak au poivr ,1,18,"[[0.23570226 0.23570226 0.23570226 0.23570226 0.23570226 0.23570226
  0.23570226 0.23570226 0.23570226 0.23570226 0.23570226 0.23570226
  0.23570226 0.23570226 0.23570226 0.23570226 0.23570226 0.23570226]]",0.0
57,2962,three cours choic includ excel mussel puff pastri goat chees salad delici dress hanger steak au poivr world ,cours ,0,18,"[[0.23570226 0.23570226 0.23570226 0.23570226 0.23570226 0.23570226
  0.23570226 0.23570226 0.23570226 0.23570226 0.23570226 0.23570226
  0.23570226 0.23570226 0.23570226 0.23570226 0.23570226 0.23570226]]",0.23570226039551587
58,3404,perfect place amanz indian food ,indian food ,1,5,[[0.4472136 0.4472136 0.4472136 0.4472136 0.4472136]],0.0
59,2599,place cool servic prompt curtiou ,servic ,1,5,[[0.4472136 0.4472136 0.4472136 0.4472136 0.4472136]],0.4472135954999579
60,2599,place cool servic prompt curtiou ,place ,1,5,[[0.4472136 0.4472136 0.4472136 0.4472136 0.4472136]],0.4472135954999579
61,673,end your left mild broth noodl slurp cup ,broth noodl ,1,8,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]",0.0
62,648,wonder delici meal littl money ,meal ,1,5,[[0.4472136 0.4472136 0.4472136 0.4472136 0.4472136]],0.4472135954999579
63,648,wonder delici meal littl money ,money ,1,5,[[0.4472136 0.4472136 0.4472136 0.4472136 0.4472136]],0.4472135954999579
64,863,food delici come empti stomach ,food ,2,5,[[0.4472136 0.4472136 0.4472136 0.4472136 0.4472136]],0.4472135954999579
65,1623,wine list excel ,wine list ,1,3,[[0.57735027 0.57735027 0.57735027]],0.0
66,430,ive mani thai restaur manhattan toon far best thai food ive except mom cours ,thai food ,1,14,"[[0.23570226 0.23570226 0.23570226 0.23570226 0.23570226 0.47140452
  0.23570226 0.23570226 0.23570226 0.23570226 0.47140452 0.23570226]]",0.0
67,1101,wouldnt even let finish glass wine offer anoth ,glass wine ,0,8,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]",0.0
68,324,whem ask ask detail question knew special ,special ,0,7,[[0.66666667 0.33333333 0.33333333 0.33333333 0.33333333 0.33333333]],0.3333333333333333
69,2783,consist great place dine lunch dinner ,lunch ,0,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
70,2783,consist great place dine lunch dinner ,dinner ,0,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
71,2783,consist great place dine lunch dinner ,dine ,1,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
72,2983,nice atmospher servic pleasant desert good ,atmospher ,1,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
73,2983,nice atmospher servic pleasant desert good ,servic ,1,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
74,2983,nice atmospher servic pleasant desert good ,desert ,1,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
75,627,realli enjoy bar sat tabl dinner ,bar ,1,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
76,627,realli enjoy bar sat tabl dinner ,tabl ,0,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
77,627,realli enjoy bar sat tabl dinner ,dinner ,0,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
78,3219,fabul servic fantast food chill atmospher environ ,servic ,1,7,"[[0.37796447 0.37796447 0.37796447 0.37796447 0.37796447 0.37796447
  0.37796447]]",0.3779644730092272
79,3219,fabul servic fantast food chill atmospher environ ,food ,1,7,"[[0.37796447 0.37796447 0.37796447 0.37796447 0.37796447 0.37796447
  0.37796447]]",0.3779644730092272
80,3219,fabul servic fantast food chill atmospher environ ,atmospher ,1,7,"[[0.37796447 0.37796447 0.37796447 0.37796447 0.37796447 0.37796447
  0.37796447]]",0.3779644730092272
81,3219,fabul servic fantast food chill atmospher environ ,environ ,1,7,"[[0.37796447 0.37796447 0.37796447 0.37796447 0.37796447 0.37796447
  0.37796447]]",0.3779644730092272
82,2787,tri lasagnett appet ,lasagnett appet ,1,3,[[0.57735027 0.57735027 0.57735027]],0.0
83,604,like beer select ,beer select ,1,3,[[0.57735027 0.57735027 0.57735027]],0.0
84,2911,great food good size menu great servic unpretensi set ,food ,1,9,"[[0.30151134 0.30151134 0.60302269 0.30151134 0.30151134 0.30151134
  0.30151134 0.30151134]]",0.30151134457776363
85,2911,great food good size menu great servic unpretensi set ,menu ,1,9,"[[0.30151134 0.30151134 0.60302269 0.30151134 0.30151134 0.30151134
  0.30151134 0.30151134]]",0.30151134457776363
86,2911,great food good size menu great servic unpretensi set ,servic ,1,9,"[[0.30151134 0.30151134 0.60302269 0.30151134 0.30151134 0.30151134
  0.30151134 0.30151134]]",0.30151134457776363
87,2911,great food good size menu great servic unpretensi set ,set ,1,9,"[[0.30151134 0.30151134 0.60302269 0.30151134 0.30151134 0.30151134
  0.30151134 0.30151134]]",0.30151134457776363
88,3074,go romant dinner wow dine experi ,dinner ,1,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
89,3074,go romant dinner wow dine experi ,dine ,1,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
90,1074,grew eat dosa yet find place ny satisfi tast bud ,dosa ,0,10,"[[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
  0.31622777 0.31622777 0.31622777 0.31622777]]",0.31622776601683794
91,912,wine list select good winebytheglass gener fill top ,wine list select ,1,8,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]",0.0
92,912,wine list select good winebytheglass gener fill top ,winebytheglass ,1,8,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]",0.35355339059327373
93,728,great varieti menu eat often never get bore ,menu ,1,8,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]",0.35355339059327373
94,2925,menu limit think count entre ,menu ,-1,5,[[0.4472136 0.4472136 0.4472136 0.4472136 0.4472136]],0.4472135954999579
95,2925,menu limit think count entre ,entre ,-1,5,[[0.4472136 0.4472136 0.4472136 0.4472136 0.4472136]],0.4472135954999579
96,3436,menu limit almost dish excel ,menu ,-1,5,[[0.4472136 0.4472136 0.4472136 0.4472136 0.4472136]],0.4472135954999579
97,3436,menu limit almost dish excel ,dish ,1,5,[[0.4472136 0.4472136 0.4472136 0.4472136 0.4472136]],0.4472135954999579
98,3273,crazi sake martini ,sake martini ,-1,3,[[0.57735027 0.57735027 0.57735027]],0.0
99,1215,great bagel spread good place hang ,bagel ,1,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
100,1215,great bagel spread good place hang ,spread ,1,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
101,183,servic vari day day sometim theyr nice sometim ,servic ,2,8,[[0.57735027 0.28867513 0.28867513 0.57735027 0.28867513 0.28867513]],0.2886751345948129
102,282,one thing like place never felt rush pressur give tabl ot incom guest ,tabl ,0,13,"[[0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501
  0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501]]",0.2773500981126146
103,3249,unfortun food outstand everyth els restaur pit ,food ,1,7,"[[0.37796447 0.37796447 0.37796447 0.37796447 0.37796447 0.37796447
  0.37796447]]",0.3779644730092272
104,3207,alway delici meal alway leav feel satisfi ,meal ,1,7,[[0.66666667 0.33333333 0.33333333 0.33333333 0.33333333 0.33333333]],0.3333333333333333
105,672,dip ingredi chopstick swirl around eat ,ingredi ,0,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
106,672,dip ingredi chopstick swirl around eat ,chopstick ,0,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
107,2972,first went enjoy garden terrac ,garden terrac ,1,5,[[0.4472136 0.4472136 0.4472136 0.4472136 0.4472136]],0.0
108,1755,pizza pretti good huge ,pizza ,1,4,[[0.5 0.5 0.5 0.5]],0.5
109,2277,cuisin ive gather authent taiwanes though differ ive accustom taipei ,cuisin ,0,10,"[[0.28867513 0.28867513 0.28867513 0.28867513 0.28867513 0.57735027
  0.28867513 0.28867513 0.28867513]]",0.2886751345948129
110,3680,almost hesitit write review atmospher great would hate becom crowd ,atmospher ,1,10,"[[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
  0.31622777 0.31622777 0.31622777 0.31622777]]",0.31622776601683794
111,3155,often crowd weekend effici accur servic ,servic ,1,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
112,3155,often crowd weekend effici accur servic ,crowd ,-1,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
113,1688,cowork amaz small dish ,dish ,-1,4,[[0.5 0.5 0.5 0.5]],0.5
114,598,atmospher unherald servic impec food magnific ,atmospher ,1,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
115,598,atmospher unherald servic impec food magnific ,servic ,1,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
116,598,atmospher unherald servic impec food magnific ,food ,1,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.4082482904638631
117,2926,order special grill branzino infus bone difficult eat ,grill branzino ,-1,8,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]",0.0
118,3083,wait staff friendli food gotten better better ,wait staff ,1,7,[[0.66666667 0.33333333 0.33333333 0.33333333 0.33333333 0.33333333]],0.0
119,3083,wait staff friendli food gotten better better ,food ,1,7,[[0.66666667 0.33333333 0.33333333 0.33333333 0.33333333 0.33333333]],0.3333333333333333
120,2977,may bit pack weekend vibe good best french food find area ,vibe ,1,11,"[[0.30151134 0.30151134 0.30151134 0.30151134 0.30151134 0.30151134
  0.30151134 0.30151134 0.30151134 0.30151134 0.30151134]]",0.30151134457776363
121,2977,may bit pack weekend vibe good best french food find area ,french food ,1,11,"[[0.30151134 0.30151134 0.30151134 0.30151134 0.30151134 0.30151134
  0.30151134 0.30151134 0.30151134 0.30151134 0.30151134]]",0.0
122,2977,may bit pack weekend vibe good best french food find area ,pack ,-1,11,"[[0.30151134 0.30151134 0.30151134 0.30151134 0.30151134 0.30151134
  0.30151134 0.30151134 0.30151134 0.30151134 0.30151134]]",0.30151134457776363
123,2604,right l brooklyn nice cozi place good pizza ,pizza ,1,8,"[[0.37796447 0.37796447 0.37796447 0.37796447 0.37796447 0.37796447
  0.37796447]]",0.3779644730092272
124,2604,right l brooklyn nice cozi place good pizza ,place ,1,8,"[[0.37796447 0.37796447 0.37796447 0.37796447 0.37796447 0.37796447
  0.37796447]]",0.3779644730092272
125,2960,le pere pinard pretheat menu outstand ,pretheat menu ,1,6,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],0.0
126,1383,also order deliveri restaur forgot half order ,deliveri ,-1,7,[[0.33333333 0.33333333 0.33333333 0.33333333 0.66666667 0.33333333]],0.3333333333333333
127,1383,also order deliveri restaur forgot half order ,order ,-1,7,[[0.33333333 0.33333333 0.33333333 0.33333333 0.66666667 0.33333333]],0.6666666666666666
128,892,server check us mayb twice entir meal ,server ,-1,7,"[[0.37796447 0.37796447 0.37796447 0.37796447 0.37796447 0.37796447
  0.37796447]]",0.3779644730092272
129,892,server check us mayb twice entir meal ,meal ,0,7,"[[0.37796447 0.37796447 0.37796447 0.37796447 0.37796447 0.37796447
  0.37796447]]",0.3779644730092272
130,2936,strong scent come left right neg affect tast bud ,scent ,-1,9,"[[0.33333333 0.33333333 0.33333333 0.33333333 0.33333333 0.33333333
  0.33333333 0.33333333 0.33333333]]",0.3333333333333333
131,3423,lobster sandwich fantast ,lobster sandwich ,1,3,[[0.57735027 0.57735027 0.57735027]],0.0
132,1197,stall could understand come less hour hadnt even brought us check yet ,check ,-1,12,"[[0.28867513 0.28867513 0.28867513 0.28867513 0.28867513 0.28867513
  0.28867513 0.28867513 0.28867513 0.28867513 0.28867513 0.28867513]]",0.2886751345948129
133,2274,though spider roll may look like challeng eat soft shell crab hang roll well worth price pay ,spider roll ,2,17,"[[0.22941573 0.22941573 0.22941573 0.22941573 0.22941573 0.22941573
  0.22941573 0.22941573 0.22941573 0.45883147 0.22941573 0.22941573
  0.22941573 0.22941573 0.22941573 0.22941573]]",0.0
134,2274,though spider roll may look like challeng eat soft shell crab hang roll well worth price pay ,price ,1,17,"[[0.22941573 0.22941573 0.22941573 0.22941573 0.22941573 0.22941573
  0.22941573 0.22941573 0.22941573 0.45883147 0.22941573 0.22941573
  0.22941573 0.22941573 0.22941573 0.22941573]]",0.22941573387056174
135,2274,though spider roll may look like challeng eat soft shell crab hang roll well worth price pay ,shell crab ,1,17,"[[0.22941573 0.22941573 0.22941573 0.22941573 0.22941573 0.22941573
  0.22941573 0.22941573 0.22941573 0.45883147 0.22941573 0.22941573
  0.22941573 0.22941573 0.22941573 0.22941573]]",0.0
136,2804,deep fri skewer good still rare find nyc ,deep fri skewer ,1,8,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]",0.0
137,194,tri make reserv time hostess didnt name ,reserv ,0,7,"[[0.37796447 0.37796447 0.37796447 0.37796447 0.37796447 0.37796447
  0.37796447]]",0.3779644730092272
138,194,tri make reserv time hostess didnt name ,hostess ,-1,7,"[[0.37796447 0.37796447 0.37796447 0.37796447 0.37796447 0.37796447
  0.37796447]]",0.3779644730092272
139,148,also recommend rice dish differ varieti conge rice porridg ,rice dish ,1,9,"[[0.30151134 0.30151134 0.30151134 0.30151134 0.30151134 0.30151134
  0.60302269 0.30151134]]",0.0
140,148,also recommend rice dish differ varieti conge rice porridg ,conge rice porridg ,1,9,"[[0.30151134 0.30151134 0.30151134 0.30151134 0.30151134 0.30151134
  0.60302269 0.30151134]]",0.0
141,2747,tuna tartar appet die ,tuna tartar appet ,1,4,[[0.5 0.5 0.5 0.5]],0.0
142,856,oasi refin food though somewhat uneven often reach pinnacl new american fine cuisin chef passion kitchen precis execut evid fish dish soup ,food ,2,22,"[[0.21320072 0.21320072 0.21320072 0.21320072 0.21320072 0.21320072
  0.21320072 0.21320072 0.21320072 0.21320072 0.21320072 0.21320072
  0.21320072 0.21320072 0.21320072 0.21320072 0.21320072 0.21320072
  0.21320072 0.21320072 0.21320072 0.21320072]]",0.21320071635561041
